skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	ListPool	IconCel	str name	str short	str long	str alt	str mana	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	eol
sd34	3	6	2	3		56	skillname34	skillsd34	skillld34	skillan34	StrSkill3	17																1					19	StrSkill18		min(90,par3+stat('is453'.accr)/10)		10																																								40	Sksyn	skillname34	2		63	skillname14	Ltngdplev	par8		63	skillname35	Ltngdplev	par8		63	skillname24	Ltngdplev	par8																	0
sd35	3	6	3	3		58	skillname35	skillsd35	skillld35	skillan35	StrSkill3	22																1					10					3	StrSkill72	StrSkill27	ln12																																					40	Sksyn	skillname35	2		63	skillname14	Ltngdplev	par8		63	skillname34	Ltngdplev	par8		63	skillname24	Ltngdplev	par8																	0
sd36	1	1	2	1			skillname36	skillsd36	skillld36	skillan36	StrSkill3	5																11					10					9					8															1																				40	Sksyn	skillname36	2		63	skillname47	Firedplev	par8		63	skillname56	Firedplev	par8																						0
sd37	1	1	3	1		2	skillname37	skillsd37	skillld37	skillan37	StrSkill3																	7	StrSkill23		ln12																																																																																		0
sd38	2	1	2	2		4	skillname38	skillsd38	skillld38	skillan38	StrSkill3	5																1					7	StrSkill27		min(24,ln12)		10																																								40	Sksyn	skillname38	2		63	skillname49	Ltngdplev	par8																											0
sd39	3	1	2	3		6	skillname39	skillsd39	skillld39	skillan39	StrSkill3	5																1					19	StrSkill18		min(90,par3+stat('is462'.accr)/10)		10					9					8																														40	Sksyn	skillname39	2		63	skillname59	Colddplev	par8		63	skillname45	Colddplev	par8		63	skillname64	Colddplev	par8																	0
sd40	3	1	3	3		8	skillname40	skillsd40	skillld40	skillan40	StrSkill3																	1					12	StrSkill62		(ln56*(100+(skill('sk50'.blvl)+skill('sk60'.blvl))*par8))/100		12	StrSkill20		ln34+(skill('sk50'.blvl)+skill('sk60'.blvl))*par7		3	StrSkill31	StrSkill23	ln12																																40	Sksyn	skillname40	2		67	skillname50	Secplev2	(par7+12)/25		63	skillname50	FrezLenplev	par8		67	skillname60	Secplev2	(par7+12)/25		63	skillname60	FrezLenplev	par8												0
sd41	1	2	1	1		10	skillname41	skillsd41	skillld41	skillan41	StrSkill3	8																3	StrSkill3	StrSkill34	mps		19	StrSkill56		ln12/4		11					26															5	StrSkill115		par3																	40	Sksyn	skillname41	2		63	skillname37	Firedplev	par8																											0
sd42	2	2	1	2		12	skillname42	skillsd42	skillxld42	skillan42	StrSkill3																	1					19	StrSkill18		ln12																						3	StrSkill33	StrSkill23	par4																																																				0
sd43	2	2	3	2		14	skillname43	skillsd43	skillld43	skillan43	StrSkill3	5																1					10																																																																																0
sd44	3	2	1	3		16	skillname44	skillsd44	skillld44	skillan44	StrSkill3	5																1					11					10																																								40	Sksyn	skillname44	2		63	skillname59	Colddplev	par8		63	skillname64	Colddplev	par8																						0
sd45	3	2	2	3		18	skillname45	skillsd45	skillld45	skillan45	StrSkill3	5																1					12	StrSkill62		edln		10																																								40	Sksyn	skillname45	2		63	skillname39	Colddplev	par8		63	skillname55	FrezLenplev	par7		63	skillname59	Colddplev	par8		63	skillname64	Colddplev	par8												0
sd46	1	3	1	1		20	skillname46	skillsd46	skillld46	skillan46	StrSkill3	9													ml67			1					27					23	StrSkill82																																							40	Sksyn	skillname46	2		63	skillname37	Firedplev	par8		63	skillname51	Firedplev	par7																						0
sd47	1	3	2	1		22	skillname47	skillsd47	skillld47	skillan47	StrSkill3	5													ml62			1					11					10					9					8										28																				40	Sksyn	skillname47	2		63	skillname36	Firedplev	par8		63	skillname56	Firedplev	par8																						0
sd48	2	3	1	2		24	skillname48	skillsd48	skillld48	skillan48	StrSkill3	5																1					10																																													40	Sksyn	skillname48	2		63	skillname49	Ltngdplev	par8		63	skillname53	Ltngdplev	par8		63	skillname57	Ltngdplev	par8																	0
sd49	2	3	2	2		26	skillname49	skillsd49	skillld49	skillan49	StrSkill3	5																1					11					10					9					8																														40	Sksyn	skillname49	2		63	skillname38	Ltngdplev	par8		63	skillname48	Ltngdplev	par8		63	skillname53	Ltngdplev	par8																	0
sd50	3	3	3	3		28	skillname50	skillsd50	skillld50	skillan50	StrSkill3	5																1					11					10					3	StrSkill31	StrSkill23	ln12		12	StrSkill20		ln34+(skill('sk40'.blvl)+skill('sk60'.blvl))*par7																											40	Sksyn	skillname50	2		67	skillname40	Secplev2	(par7+12)/25		63	skillname40	Colddplev	par8		67	skillname60	Secplev2	(par7+12)/25		63	skillname60	Colddplev	par8												0
sd51	1	4	1	1		30	skillname51	skillsd51	skillld51	skillan51	StrSkill3	5													ml68			1					19	StrSkill18		min(90,par3+stat('is464'.accr)/10)		10																																								40	Sksyn	skillname51	2		63	skillname36	Firedplev	par8		63	skillname47	Firedplev	par8		63	skillname56	Firedplev	par8																	0
sd52	1	4	3	1		32	skillname52	skillsd52	skillld52	skillan52	StrSkill3																	1					2	StrSkill30	StrSkill23	toht		10					12	StrSkill20		ln12																																40	Sksyn	skillname52	2		63	skillname37	Firedplev	par8																											0
sd53	2	4	2	2		34	skillname53	skillsd53	skillld53	skillan53	StrSkill3	5																1					19	StrSkill18		min(90,par3+stat('is463'.accr)/10)		7	StrSkill11		ln34/par5																																					40	Sksyn	skillname53	2		63	skillname57	Ltngdplev	par8		63	skillname48	Ltngdplev	par8		63	skillname49	Ltngdplev	par8																	0
sd54	2	4	3	2		36	skillname54	skillsd54	skillld54	skillan54	StrSkill3																	1																																																																																					0
sd55	3	4	2	3		38	skillname55	skillsd55	skillld55	skillan55	StrSkill3	5																1					12	StrSkill62		(ln34*(100+skill('sk59'.blvl)*par7))/100		10																				19	StrSkill18		ln12																	40	Sksyn	skillname55	2		63	skillname39	Colddplev	par8		63	skillname45	Colddplev	par8		63	skillname59	FrezLenplev	par7		63	skillname64	Colddplev	par8												0
sd56	1	5	2	1		40	skillname56	skillsd56	skillld56	skillan56	StrSkill3	5													ml240			1					22					19	StrSkill18		ln12																																					40	Sksyn	skillname56	2		63	skillname36	Firedplev	par8		63	skillname47	Firedplev	par8																						0
sd57	2	5	1	2		42	skillname57	skillsd57	skillld57	skillan57	StrSkill3	5																1					10					12	StrSkill20		ln12																																																																								0
sd58	2	5	3	2		44	skillname58	skillsd58	skillld58	skillan58	StrSkill3																	1					3	StrSkill40	StrSkill23	min(edmn,95)		12	StrSkill20		ln12																																					40	Sksyn	skillname58	2		18	skillname43																													0
sd59	3	5	1	3		46	skillname59	skillsd59	skillld59	skillan59	StrSkill3	5													ml158			1					23	StrSkill20				10																																								40	Sksyn	skillname59	2		63	skillname39	Colddplev	par8		63	skillname45	Colddplev	par8		63	skillname64	Colddplev	par8																	0
sd60	3	5	3	3		48	skillname60	skillsd60	skillld60	skillan60	StrSkill3	5																1					10					12	StrSkill20		ln34+(skill('sk40'.blvl)+skill('sk50'.blvl))*par7		3	StrSkill31	StrSkill23	ln12																																40	Sksyn	skillname60	2		67	skillname40	Secplev2	(par7+12)/25		63	skillname40	Colddplev	par8		67	skillname50	Secplev2	(par7+12)/25		63	skillname50	Colddplev	par8												0
sd61	1	6	2	1		50	skillsname61	skillsd61	skillld61	skillan61	StrSkill3																	2	StrSkill5	StrSkill23	ln12																																																																																		0
sd62	1	6	3	1		52	skillname62	skillsd62	skillld62	skillan62	StrSkill3	5																1					24	StrSkill113				12	StrSkill20		ln12																																					40	Sksyn	skillname62	2		63	skillname36	Firedplev	par8		63	skillname47	Firedplev	par8																						0
sd63	2	6	2	2		54	skillname63	skillxsd63	skillxld63	skillan63	StrSkill3																	2	StrSkill7	StrSkill23	ln12																																																																																		0
sd64	3	6	1	3		56	skillname64	skillsd64	skillld64	skillan64	StrSkill3	5																1					11					10					9					8																														40	Sksyn	skillname64	2		63	skillname39	Colddplev	par8		63	skillname45	Colddplev	par8		63	skillname59	Colddplev	par8																	0
sd65	3	6	2	3		58	skillname65	skillsd65	skillld65	skillan65	StrSkill3																	7	StrSkill23		ln12																																																																																		0
sd66	1	1	2	1			skillname66	skillsd66	skillld66	skillan66	StrSkill3																	1					12	StrSkill20		ln34		19	StrSkill18		ln12																	2	StrSkill37	StrSkill23	par5																																																				0
sd67	2	1	2	2		2	skillname67	skillsd67	skillld67	skillan67	StrSkill3	5																1					10					7	StrSkill28		min(ln12,24)																																					40	Sksyn	skillname67	2		63	skillname78	Magdplev	par8		63	skillname84	Magdplev	par8		63	skillname88	Magdplev	par8		63	skillname93	Magdplev	par8												0
sd68	2	1	3	2		4	skillname68	skillsd68	skillld68	skillan68	StrSkill3	5																1					19	StrSkill18		min(90,par3+stat('is458'.accr)/10)																																										40	Sksyn	skillname78	2		63	skillname70	Firedplev	par8		63	skillname80	Firedplev	par8		63	skillname95	Firedplev	par8																	0
sd69	3	1	1	3		6	skillname69	skillsd69	skillld69	skillan69	StrSkill3																	32	StrSkill97	StrSkill4	lvl*par4		32	StrSkill97	StrSkill42	lvl*par3		33	StrSkill96	StrSkill43			70	StrSkill96	StrSkill42	lvl*par1		70	StrSkill95	StrSkill4	lvl*par2		70	StrSkill95	StrSkill42	lvl*par1																																																									0
sd70	3	1	3	3		8	skillname70	skillsd70	skillld70	skillan70	StrSkill3																	1					36	StrSkill94	StrSkill44	3		13			(lvl<4)?0:(par2*(lvl-3))	skill('sk69'.lvl)*skill('sk69'.par1)	5	StrSkill21		5+(lvl+skill('sk69'.lvl))*par5		5	StrSkill22		5+(lvl+skill('sk69'.lvl))*par4		2	StrSkill4	StrSkill23	(lvl<4)?0:((lvl-3)*par3)		34																				40	Sksyn	skillname70	2		18	skillname69				18	skillname89																								0
sd71	1	2	1	1		10	skillname71	skillsd71	skillld71	skillan71	StrSkill3																	1					31	StrSkill20		ln34		19	StrSkill18		ln12																																																																								0
sd72	1	2	3	1		12	skillname72	skillsd72	skillld72	skillan72	StrSkill3																	1					12	StrSkill20		ln34		19	StrSkill18		ln12																	3	StrSkill38	StrSkill23	-par5																																																				0
sd73	2	2	1	2		14	skillname73	skillsd73	skillld73	skillan73	StrSkill3	5												1				1					2	StrSkill22	StrSkill23	toht		14																																								40	Sksyn	skillname73	2		63	skillname83	Poisdplev	par8		63	skillname92	Poisdplev	par8																						0
sd74	2	2	2	2		16	skillname74	skillsd74	skillld74	skillan74	StrSkill3																	1					37	StrSkill18		ln34																						38	StrSkill4	StrSkill46	par1	par2																																																			0
sd75	3	2	2	3		18	skillname75	skillsd75	skillld75	skillan75	StrSkill3																	1					3	Cgslow	StrSkill23	dm34		4	StrSkill30		lvl*par8		39					13			((100+par1*(lvl-1))*((100+skill('sk79'.ln12))+skill('sk85'.blvl)*skill('sk85'.par8)))/100-100							5	StrSkill21		100+skill('sk90'.lvl)*skill('sk90'.par8)		5	StrSkill22		(40+skill('sk79'.ln56))+lvl*par8												40	Sksyn	skillname75	2		18	skillname79				18	skillname89				63	skillname85	Hpplev	skill('sk85'.par8)		67	skillname90	Defplev	skill('sk90'.par8)		63	skillname94	Damplev	skill('sk94'.par8)							0
sd76	1	3	2	1		20	skillname76	skillsd76	skillld76	skillan76	StrSkill3																	1					19	StrSkill18		ln12		12	StrSkill20		ln34		7	StrSkill55		ln56																																																																			0
sd77	1	3	3	1		22	skillname77	skillsd77	skillld77	skillan77	StrSkill3																	1					12	StrSkill20		ln34																						19	StrSkill18		ln12																																																				0
sd78	2	3	3	2		24	skillname78	skillsd78	skillld78	skillan78	StrSkill3																	1					12	StrSkill20		par2		13			par1*(lvl-1)+(skill('sk68'.blvl)+skill('sk88'.blvl))*par8																																					40	Sksyn	skillname78	2		63	skillname68	Hpplev	par8		63	skillname88	Hpplev	par8																						0
sd79	3	3	1	3		26	skillname79	skillsd79	skillld79	skillan79	StrSkill3																	2	StrSkill89	StrSkill23	dm34		4	StrSkill30		ln56		2	StrSkill42	StrSkill23	lvl*par1																																																																								0
sd80	3	3	3	3		28	skillname80	skillsd80	skillld80	skillan80	StrSkill3																	1					36	StrSkill43a	StrSkill44a	3		5	StrSkill21		(lvl+skill('sk69'.lvl))*par5		13				skill('sk69'.lvl)*skill('sk69'.par1)																															40	Sksyn	skillname80	2		18	skillname69				18	skillname89																								0
sd81	1	4	1	1		30	skillname81	skillsd81	skillld81	skillan81	StrSkill3																	1					31	StrSkill20		ln34		19	StrSkill18		ln12																																																																								0
sd82	1	4	2	1		32	skillname82	skillsd82	skillld82	skillan82	StrSkill3																	1					12	StrSkill20		ln34		19	StrSkill18		ln12																	3	StrSkill50	StrSkill79	ln56																																																				0
sd83	2	4	1	2		34	skillname83	skillsd83	skillld83	skillan83	StrSkill3	5																1					19	StrSkill18		min(90,par3+stat('is456'.accr)/10)																																										40	Sksyn	skillname83	2		63	skillname78	Poisdplev	par8		63	skillname92	Poisdplev	par8		63	skillname73	Poisdplev	par8																	0
sd84	2	4	2	2		36	skillname84	skillsd84	skillld84	skillan84	StrSkill3	5																1					19	StrSkill18		min(90,par3+stat('is457'.accr)/10)							9					8																														40	Sksyn	skillname84	2		63	skillname67	Magdplev	par8		63	skillname88	Magdplev	par8		63	skillname93	Magdplev	par8																	0
sd85	3	4	2	3		38	skillname85	skillsd85	skillld85	skillan85	StrSkill3																	1					39					3	StrSkill80	StrSkill81	dm12																	5	StrSkill21		120+skill('sk90'.lvl)*skill('sk90'.par8)		5	StrSkill22		(60+skill('sk79'.ln56))+skill('sk75'.blvl)*skill('sk75'.par8)		13			skill('sk79'.ln12)							40	Sksyn	skillname85	2		18	skillname79				18	skillname89				67	skillname75	AttRateplev	skill('sk75'.par8)		67	skillname90	Defplev	skill('sk90'.par8)		63	skillname94	Damplev	skill('sk94'.par8)							0
sd86	1	5	1	1		40	skillname86	skillsd86	skillxld86	skillan86	StrSkill3																	1					31	StrSkill20		ln34																						19	StrSkill18		ln12																																																				0
sd87	1	5	3	1		42	skillname87	skillsd87	skillld87	skillan87	StrSkill3																	1					12	StrSkill20		ln34																						19	StrSkill18		ln12																																																				0
sd88	2	5	3	2		44	skillname88	skillsd88	skillld88	skillan88	StrSkill3																	1					12	StrSkill20		par2		13			par1*(lvl-1)+(skill('sk68'.blvl)+skill('sk78'.blvl))*par8																																					40	Sksyn	skillname88	2		63	skillname68	Hpplev	par8		63	skillname78	Hpplev	par8																						0
sd89	3	5	1	3		46	skillname89	skillsd89	skillld89	skillan89	StrSkill3																	2	StrSkill54	StrSkill23	dm12																																																																																		0
sd90	3	5	2	3		48	skillname90	skillsd90	skillld90	skillan90	StrSkill3																	1					4	StrSkill31		lvl*par8		7	StrSkill55		ln12		18	StrSkill112														5	StrSkill21		140+lvl*par8		5	StrSkill22		(80+skill('sk79'.ln56))+skill('sk75'.blvl)*skill('sk75'.par8)		39					13			skill('sk79'.ln12)+skill('sk85'.blvl)*skill('sk85'.par8)		40	Sksyn	skillname90	2		18	skillname79				18	skillname89				67	skillname75	AttRateplev	skill('sk75'.par8)		63	skillname85	Hpplev	skill('sk85'.par8)		63	skillname94	Damplev	skill('sk94'.par8)							0
sd91	1	6	2	1		50	skillname91	skillsd91	skillld91	skillan91	StrSkill3																	1					3	StrSkill54	StrSkill23	-dm56		12	StrSkill20		ln34		19	StrSkill18		ln12																																																																			0
sd92	2	6	1	2		52	skillname92	skillsd92	skillld92	skillan92	StrSkill3	5																1					14																																													40	Sksyn	skillname92	2		63	skillname78	Poisdplev	par8		63	skillname83	Poisdplev	par8		63	skillname73	Poisdplev	par8																	0
sd93	2	6	2	2		54	skillname93	skillsd93	skillld93	skillan93	StrSkill3	5																1					10																																													40	Sksyn	skillname93	2		63	skillname67	Magdplev	par8		63	skillname78	Magdplev	par8		63	skillname84	Magdplev	par8		63	skillname88	Magdplev	par8												0
sd94	3	6	2	3		56	skillname94	skillsd94	skillld94	skillan94	StrSkill3																	1					35	skillname102		sklvl('sk102'.ln56.edmn)	sklvl('sk102'.ln56.edmx)	41			edmn+sklvl('sk102'.ln56.edmn)*sklvl('sk102'.ln56.par5)	edmx+sklvl('sk102'.ln56.edmx)*sklvl('sk102'.ln56.par5)	3	StrSkill40	StrSkill103	dm12												5	StrSkill21		200+skill('sk90'.lvl)*skill('sk90'.par8)		5	StrSkill22		(120+skill('sk79'.ln56))+skill('sk75'.blvl)*skill('sk75'.par8)		13			skill('sk79'.ln12)+skill('sk85'.blvl)*skill('sk85'.par8)							40	Sksyn	skillname94	2		18	skillname79				18	skillname89				67	skillname75	AttRateplev	skill('sk75'.par8)		63	skillname85	Hpplev	skill('sk85'.par8)		67	skillname90	Defplev	skill('sk90'.par8)							0
sd95	3	6	3	3		58	skillname95	skillsd95	skillld95	skillan95	StrSkill3																	1					5	StrSkill97		lvl																						2	StrSkill4	StrSkill23	skill('sk69'.lvl)*skill('sk69'.par4)		2	StrSkill42	StrSkill23	par1+skill('sk69'.lvl)*skill('sk69'.par3)		12	StrSkill20		ln34							40	Sksyn	skillname95	2		18	skillname69				18	skillname89																								0
sd96	1	1	1	1			skillname96	skillsd96	skillld96	skillan96	StrSkill3	7	(ln12+skill('sk124'.blvl)*par8)+skill('sk122'.blvl)*par7											1				1					2	StrSkill4	StrSkill23	(ln12+skill('sk124'.blvl)*par8)+skill('sk122'.blvl)*par7		2	StrSkill10	StrSkill23	toht																	68	StrSkill23	StrSkill47	par3																	40	Sksyn	skillname96	2		63	skillname124	Damplev	par8		63	skillname122	Damplev	par7																						0
sd97	1	1	3	1		2	skillname97	skillsd97	skillld97	skillan97	StrSkill3	10																1					12	StrSkill48		min(250,ln12)		2	StrSkill4	StrSkill23	ln34																																																																								0
sd98	2	1	1	2		4	skillname98	skillsd98	skillld98	skillan98	StrSkill3																	2	StrSkill4	StrSkill23	ln34		19	StrSkill18		ln12																																																																													0
sd99	3	1	1	3		6	skillname99	skillsd99	skillld99	skillan99	StrSkill3																	1					4	StrSkill50		edmn		19	StrSkill18		ln12																																																																								0
sd100	3	1	3	3		8	skillname100	skillsd100	skillld100	skillan100	StrSkill3																	2	StrSkill51	StrSkill23	dm34		19	StrSkill18		ln12																																																																													0
sd101	1	2	2	1		10	skillname101	skillsd101	skillld101	skillan101	StrSkill3	5																1					47	StrSkill50		(ln12*(100+skill('sk99'.blvl)*par7))/100	(ln34*(100+skill('sk99'.blvl)*par7))/100	10																																								40	Sksyn	skillname101	2		63	skillname112	Magdplev	par8		63	skillname121	Magdplev	par8		63	skillname99	Healplev	par7																	0
