Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
110	78526923	78526923	78526923	78526923	78526923	78526923	78526923	4
111	82104680	82104680	82104680	82104680	82104680	82104680	82104680	4
112	86004436	86004436	86004436	86004436	86004436	86004436	86004436	4
113	89904191	89904191	89904191	89904191	89904191	89904191	89904191	4
114	94154925	94154925	94154925	94154925	94154925	94154925	94154925	4
115	98405658	98405658	98405658	98405658	98405658	98405658	98405658	4
116	103038957	103038957	103038957	103038957	103038957	103038957	103038957	4
117	107672256	107672256	107672256	107672256	107672256	107672256	107672256	4
118	112722553	112722553	112722553	112722553	112722553	112722553	112722553	4
119	117772849	117772849	117772849	117772849	117772849	117772849	117772849	4
120	123277672	123277672	123277672	123277672	123277672	123277672	123277672	4
121	128782495	128782495	128782495	128782495	128782495	128782495	128782495	4
122	134782753	134782753	134782753	134782753	134782753	134782753	134782753	4
123	140783010	140783010	140783010	140783010	140783010	140783010	140783010	4
124	147323290	147323290	147323290	147323290	147323290	147323290	147323290	4
125	153863570	153863570	153863570	153863570	153863570	153863570	153863570	4
126	160992476	160992476	160992476	160992476	160992476	160992476	160992476	4
127	168121381	168121381	168121381	168121381	168121381	168121381	168121381	4
128	175891889	175891889	175891889	175891889	175891889	175891889	175891889	4
129	183662396	183662396	183662396	183662396	183662396	183662396	183662396	4
130	192132249	192132249	192132249	192132249	192132249	192132249	192132249	4
131	200602101	200602101	200602101	200602101	200602101	200602101	200602101	4
132	209834241	209834241	209834241	209834241	209834241	209834241	209834241	4
133	219066380	219066380	219066380	219066380	219066380	219066380	219066380	4
134	229129412	229129412	229129412	229129412	229129412	229129412	229129412	4
135	239192444	239192444	239192444	239192444	239192444	239192444	239192444	4
136	250161149	250161149	250161149	250161149	250161149	250161149	250161149	4
137	261129853	261129853	261129853	261129853	261129853	261129853	261129853	4
138	273085742	273085742	273085742	273085742	273085742	273085742	273085742	4
139	285041630	285041630	285041630	285041630	285041630	285041630	285041630	4
140	298073548	298073548	298073548	298073548	298073548	298073548	298073548	4
141	311105466	311105466	311105466	311105466	311105466	311105466	311105466	4
142	325310257	325310257	325310257	325310257	325310257	325310257	325310257	4
143	339515048	339515048	339515048	339515048	339515048	339515048	339515048	4
144	354998270	354998270	354998270	354998270	354998270	354998270	354998270	4
145	370481492	370481492	370481492	370481492	370481492	370481492	370481492	4
146	387358204	387358204	387358204	387358204	387358204	387358204	387358204	4
147	404234916	404234916	404234916	404234916	404234916	404234916	404234916	4
148	422630532	422630532	422630532	422630532	422630532	422630532	422630532	4
149	435000000	435000000	435000000	435000000	435000000	435000000	435000000	4
150	450000000	450000000	450000000	450000000	450000000	450000000	450000000	4
151	475000000	475000000	475000000	475000000	475000000	475000000	475000000	4
152	500000000	500000000	500000000	500000000	500000000	500000000	500000000	4
153	525000000	525000000	525000000	525000000	525000000	525000000	525000000	4
154	550000000	550000000	550000000	550000000	550000000	550000000	550000000	4
155	575000000	575000000	575000000	575000000	575000000	575000000	575000000	4
156	600000000	600000000	600000000	600000000	600000000	600000000	600000000	4
157	625000000	625000000	625000000	625000000	625000000	625000000	625000000	4
158	650000000	650000000	650000000	650000000	650000000	650000000	650000000	4
159	675000000	675000000	675000000	675000000	675000000	675000000	675000000	4
160	700000000	700000000	700000000	700000000	700000000	700000000	700000000	4
161	725000000	725000000	725000000	725000000	725000000	725000000	725000000	4
162	750000000	750000000	750000000	750000000	750000000	750000000	750000000	4
163	775000000	775000000	775000000	775000000	775000000	775000000	775000000	4
164	800000000	800000000	800000000	800000000	800000000	800000000	800000000	4
165	825000000	825000000	825000000	825000000	825000000	825000000	825000000	4
166	850000000	850000000	850000000	850000000	850000000	850000000	850000000	4
167	875000000	875000000	875000000	875000000	875000000	875000000	875000000	4
168	900000000	900000000	900000000	900000000	900000000	900000000	900000000	4
169	925000000	925000000	925000000	925000000	925000000	925000000	925000000	4
170	950000000	950000000	950000000	950000000	950000000	950000000	950000000	4
171	975000000	975000000	975000000	975000000	975000000	975000000	975000000	4
172	1000000000	1000000000	1000000000	1000000000	1000000000	1000000000	1000000000	4
173	1025000000	1025000000	1025000000	1025000000	1025000000	1025000000	1025000000	4
174	1050000000	1050000000	1050000000	1050000000	1050000000	1050000000	1050000000	4
175	1075000000	1075000000	1075000000	1075000000	1075000000	1075000000	1075000000	4
176	1100000000	1100000000	1100000000	1100000000	1100000000	1100000000	1100000000	4
177	1125000000	1125000000	1125000000	1125000000	1125000000	1125000000	1125000000	4
178	1150000000	1150000000	1150000000	1150000000	1150000000	1150000000	1150000000	4
179	1175000000	1175000000	1175000000	1175000000	1175000000	1175000000	1175000000	4
180	1200000000	1200000000	1200000000	1200000000	1200000000	1200000000	1200000000	4
181	1240000000	1240000000	1240000000	1240000000	1240000000	1240000000	1240000000	4
182	1280000000	1280000000	1280000000	1280000000	1280000000	1280000000	1280000000	4
183	1320000000	1320000000	1320000000	1320000000	1320000000	1320000000	1320000000	4
184	1360000000	1360000000	1360000000	1360000000	1360000000	1360000000	1360000000	4
185	1400000000	1400000000	1400000000	1400000000	1400000000	1400000000	1400000000	4
186	1440000000	1440000000	1440000000	1440000000	1440000000	1440000000	1440000000	4
187	1480000000	1480000000	1480000000	1480000000	1480000000	1480000000	1480000000	4
188	1520000000	1520000000	1520000000	1520000000	1520000000	1520000000	1520000000	4
189	1560000000	1560000000	1560000000	1560000000	1560000000	1560000000	1560000000	4
190	1600000000	1600000000	1600000000	1600000000	1600000000	1600000000	1600000000	4
191	1640000000	1640000000	1640000000	1640000000	1640000000	1640000000	1640000000	4
192	1680000000	1680000000	1680000000	1680000000	1680000000	1680000000	1680000000	4
193	1720000000	1720000000	1720000000	1720000000	1720000000	1720000000	1720000000	4
194	1760000000	1760000000	1760000000	1760000000	1760000000	1760000000	1760000000	4
195	1800000000	1800000000	1800000000	1800000000	1800000000	1800000000	1800000000	4
196	1840000000	1840000000	1840000000	1840000000	1840000000	1840000000	1840000000	4
197	1880000000	1880000000	1880000000	1880000000	1880000000	1880000000	1880000000	4
198	1920000000	1920000000	1920000000	1920000000	1920000000	1920000000	1920000000	4
199	1960000000	1960000000	1960000000	1960000000	1960000000	1960000000	1960000000	4
200	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	2000000000	4
201	2040000000	2040000000	2040000000	2040000000	2040000000	2040000000	2040000000	4
202	2080000000	2080000000	2080000000	2080000000	2080000000	2080000000	2080000000	4
203	2120000000	2120000000	2120000000	2120000000	2120000000	2120000000	2120000000	4
204	2160000000	2160000000	2160000000	2160000000	2160000000	2160000000	2160000000	4
205	2200000000	2200000000	2200000000	2200000000	2200000000	2200000000	2200000000	4
206	2240000000	2240000000	2240000000	2240000000	2240000000	2240000000	2240000000	4
207	2280000000	2280000000	2280000000	2280000000	2280000000	2280000000	2280000000	4
208	2320000000	2320000000	2320000000	2320000000	2320000000	2320000000	2320000000	4
209	2360000000	2360000000	2360000000	2360000000	2360000000	2360000000	2360000000	4
210	2400000000	2400000000	2400000000	2400000000	2400000000	2400000000	2400000000	4
211	2440000000	2440000000	2440000000	2440000000	2440000000	2440000000	2440000000	4
212	2480000000	2480000000	2480000000	2480000000	2480000000	2480000000	2480000000	4
213	2520000000	2520000000	2520000000	2520000000	2520000000	2520000000	2520000000	4
214	2560000000	2560000000	2560000000	2560000000	2560000000	2560000000	2560000000	4
215	2600000000	2600000000	2600000000	2600000000	2600000000	2600000000	2600000000	4
216	2640000000	2640000000	2640000000	2640000000	2640000000	2640000000	2640000000	4
217	2680000000	2680000000	2680000000	2680000000	2680000000	2680000000	2680000000	4
218	2720000000	2720000000	2720000000	2720000000	2720000000	2720000000	2720000000	4
219	2760000000	2760000000	2760000000	2760000000	2760000000	2760000000	2760000000	4
220	2800000000	2800000000	2800000000	2800000000	2800000000	2800000000	2800000000	4
221	2840000000	2840000000	2840000000	2840000000	2840000000	2840000000	2840000000	4
222	2880000000	2880000000	2880000000	2880000000	2880000000	2880000000	2880000000	4
223	2920000000	2920000000	2920000000	2920000000	2920000000	2920000000	2920000000	4
224	2960000000	2960000000	2960000000	2960000000	2960000000	2960000000	2960000000	4
225	3000000000	3000000000	3000000000	3000000000	3000000000	3000000000	3000000000	4
226	3040000000	3040000000	3040000000	3040000000	3040000000	3040000000	3040000000	4
227	3080000000	3080000000	3080000000	3080000000	3080000000	3080000000	3080000000	4
228	3120000000	3120000000	3120000000	3120000000	3120000000	3120000000	3120000000	4
229	3160000000	3160000000	3160000000	3160000000	3160000000	3160000000	3160000000	4
230	3200000000	3200000000	3200000000	3200000000	3200000000	3200000000	3200000000	4
231	3240000000	3240000000	3240000000	3240000000	3240000000	3240000000	3240000000	4
232	3280000000	3280000000	3280000000	3280000000	3280000000	3280000000	3280000000	4
233	3320000000	3320000000	3320000000	3320000000	3320000000	3320000000	3320000000	4
234	3360000000	3360000000	3360000000	3360000000	3360000000	3360000000	3360000000	4
235	3400000000	3400000000	3400000000	3400000000	3400000000	3400000000	3400000000	4
236	3440000000	3440000000	3440000000	3440000000	3440000000	3440000000	3440000000	4
237	3480000000	3480000000	3480000000	3480000000	3480000000	3480000000	3480000000	4
238	3520000000	3520000000	3520000000	3520000000	3520000000	3520000000	3520000000	4
239	3560000000	3560000000	3560000000	3560000000	3560000000	3560000000	3560000000	4
240	3600000000	3600000000	3600000000	3600000000	3600000000	3600000000	3600000000	4
241	3640000000	3640000000	3640000000	3640000000	3640000000	3640000000	3640000000	4
242	3680000000	3680000000	3680000000	3680000000	3680000000	3680000000	3680000000	4
243	3720000000	3720000000	3720000000	3720000000	3720000000	3720000000	3720000000	4
244	3760000000	3760000000	3760000000	3760000000	3760000000	3760000000	3760000000	4
245	3800000000	3800000000	3800000000	3800000000	3800000000	3800000000	3800000000	4
246	3840000000	3840000000	3840000000	3840000000	3840000000	3840000000	3840000000	4
247	3880000000	3880000000	3880000000	3880000000	3880000000	3880000000	3880000000	4
248	3920000000	3920000000	3920000000	3920000000	3920000000	3920000000	3920000000	4
249	3960000000	3960000000	3960000000	3960000000	3960000000	3960000000	3960000000	4
250	4000000000	4000000000	4000000000	4000000000	4000000000	4000000000	4000000000	4
251	4040000000	4040000000	4040000000	4040000000	4040000000	4040000000	4040000000	4
252	4080000000	4080000000	4080000000	4080000000	4080000000	4080000000	4080000000	4
253	4120000000	4120000000	4120000000	4120000000	4120000000	4120000000	4120000000	4
254	4160000000	4160000000	4160000000	4160000000	4160000000	4160000000	4160000000	4
255	4200000000	4200000000	4200000000	4200000000	4200000000	4200000000	4200000000	4
