description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
cm90	1			100					4	"rod,mag"	jew	r03	gpv				"usetype,crf"		50	50	pr62			4	10	pr11			10	20	pr12			1	5																																																																					0
cm91	1			100					4	"crn,mag,upg"	jew	r06	gpg				"usetype,crf"		50	50	pr3			1	4	pr6			1	2	pr33			5	10	pr5			10	30																																																																0
cm92	1			100					4	"hbt,mag,upg"	jew	r09	gpg				"usetype,crf"		50	50	pr3			1	4	pr6			1	2	pr31			5	10	pr5			10	30																																																																0
cm93	1			100					4	"hgl,mag,upg"	jew	r08	gpg				"usetype,crf"		50	50	pr3			1	4	pr6			1	2	pr35			5	10	pr5			10	30																																																																0
cm94	1			100					4	"lbl,mag,upg"	jew	r07	gpg				"usetype,crf"		50	50	pr3			1	4	pr6			1	2	pr39			5	10	pr5			10	30																																																																0
cm95	1			100					4	"kit,mag,upg"	jew	r04	gpg				"usetype,crf"		50	50	pr3			1	4	pr6			1	2	pr37			5	10	pr5			10	30																																																																0
cm96	1			100					4	"brs,mag,upg"	jew	r05	gpg				"usetype,crf"		50	50	pr3			1	4	pr6			1	2	pr95			1	1	pr5			10	30																																																																0
cm97	1			100					4	"amul,mag"	jew	r10	gpg				"usetype,crf"		50	50	pr3			1	4	pr6			1	2	pr16			1	10																																																																					0
cm98	1			100					4	"ring,mag"	jew	r11	gpg				"usetype,crf"		50	50	pr3			1	4	pr6			1	2	pr9			1	5																																																																					0
cm99	1			100					4	"spea,mag"	jew	r12	gpg				"usetype,crf"		50	50	pr3			1	4	pr6			1	2	pr5			5	10																																																																					0
cm100	1			100					4	"r10,qty=3"	gcy						r11																																																																																							0
cm101	1			100					4	"r11,qty=3"	gcv						r12																																																																																							0
cm102	1			100					4	"r12,qty=3"	gcb						r13																																																																																							0
cm103	1			100					4	"r13,qty=3"	gcr						r14																																																																																							0
cm104	1	1		100					4	"r14,qty=3"	gcg						r15																																																																																							0
cm105	1	1		100					4	"r15,qty=3"	gcw						r16																																																																																							0
cm106	1	1		100					4	"r16,qty=3"	gfy						r17																																																																																							0
cm107	1	1		100					4	"r17,qty=3"	gfv						r18																																																																																							0
cm108	1	1		100					4	"r18,qty=3"	gfb						r19																																																																																							0
cm109	1	1		100					4	"r19,qty=3"	gfr						r20																																																																																							0
cm110	1	1		100					4	"r20,qty=3"	gfg						r21																																																																																							0
cm111	1	1		100					3	"r21,qty=2"	gfw						r22																																																																																							0
cm112	1	1		100					3	"r22,qty=2"	gsy						r23																																																																																							0
cm113	1	1		100					3	"r23,qty=2"	gsv						r24																																																																																							0
cm114	1	1		100					3	"r24,qty=2"	gsb						r25																																																																																							0
cm115	1	1		100					3	"r25,qty=2"	gsr						r26																																																																																							0
cm116	1	1		100					3	"r26,qty=2"	gsg						r27																																																																																							0
cm117	1	1		100					3	"r27,qty=2"	gsw						r28																																																																																							0
cm118	1	1		100					3	"r28,qty=2"	gly						r29																																																																																							0
cm119	1	1		100					3	"r29,qty=2"	gzv						r30																																																																																							0
cm120	1	1		100					3	"r30,qty=2"	glb						r31																																																																																							0
cm121	1	1		100					3	"r31,qty=2"	glr						r32																																																																																							0
cm122	1	1		100					3	"r32,qty=2"	glg						r33																																																																																							0
cm123	1			100					4	"tors,nor,nos"	r07	r10	gpy				useitem				pr133			1	6																																																																															0
cm124	1			100					4	"weap,nor,nos"	r08	r11	gpv				useitem				pr133			1	6																																																																															0
cm125	1			100					4	"helm,nor,nos"	r08	r10	gpb				useitem				pr133			1	6																																																																															0
cm126	1			100					4	"shld,nor,nos"	r07	r11	gpr				useitem				pr133			1	6																																																																															0
cm127	1			100					3	"weap,low"	r02	gem0					"usetype,nor"																																																																																							0
cm128	1			100					3	"armo,low"	r01	gem0					"usetype,nor"																																																																																							0
cm129	1			100					4	"weap,bas,uni"	r08	r12	gpg				"useitem,mod,exc"				pr263			5	5																																																																															0
cm130	1			100					4	"armo,bas,uni"	r07	r13	gpw				"useitem,mod,exc"				pr263			5	5																																																																															0
cm131	1	1		100					4	"weap,exc,uni"	r17	r21	gpg				"useitem,mod,eli"				pr263			7	7																																																																															0
cm132	1	1		100					4	"armo,exc,uni"	r18	r20	gpw				"useitem,mod,eli"				pr263			7	7																																																																															0
cm133	1			100					4	"weap,bas,rar"	r09	r11	gpb				"useitem,mod,exc"				pr263			5	5																																																																															0
cm134	1			100					4	"armo,bas,rar"	r08	r10	gpv				"useitem,mod,exc"				pr263			5	5																																																																															0
cm135	1			100					4	"weap,exc,rar"	r19	r22	gpb				"useitem,mod,eli"				pr263			7	7																																																																															0
cm136	1			100					4	"armo,exc,rar"	r18	r21	gpv				"useitem,mod,eli"				pr263			7	7																																																																															0
cm137	1			100					2	"weap,noe"	r09						"useitem,rep,qty=255"																																																																																							0
cm138	1			100					2	"armo,noe"	r08						"useitem,rep,qty=255"																																																																																							0
cm139	1			100					3	"weap,noe"	r09	gem0					"useitem,rep,rch,qty=255"																																																																																							0
cm140	1			100					3	"armo,noe"	r08	gem1					"useitem,rep,rch,qty=255"																																																																																							0
cm141	1			100					3	"any,sock"	r15	tsc					"useitem,uns"																																																																																							0
cm142				100					3	"armo,hiq,nos"	jew	r08					"useitem,tmp"																																																																																							0
cm143				100					3	"weap,hiq,nos"	jew	r08					"useitem,tmp"																																																																																							0
cm144				100					3	"ring,mag"	jew	r08					"usetype,tmp"				pr263			3	3																																																																															0
cm145				100					3	"amu,mag"	jew	r08					"usetype,tmp"				pr263			5	5																																																																															0
cm146				100					3	"weap,tmp"	r01	gcv					useitem				pr263			2	2	pr15			30	50																																																																										0
cm147	1								4	"weap,mag"	"gem0,qty=3"						"usetype,mag"	25		50	pr133			1	2																																																																															0
cm148	1			100	28				3	pk1	pk2	pk3					Pandemonium Portal																																																																																							0
cm149	1			100	28				3	dhn	bey	mbr					Pandemonium Finale Portal																																																																																							0
cm150	1			100					4	tes	ceh	bet	fed				toa																																																																																							0
