index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*uber	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
Bonesob		1		5	1	32	24	mau	Maul			5	5000	lred			invmauu	so0		so0	pr29		200	300	pr108		40	40	pr31		30	30	pr35		30	30	pr99		50	50																													0
Steeldriver		1		5	1	39	29	gma	Great Maul			5	5000	cgrn	cgrn		invgma	so0		so0	pr75		-50	-50	pr57		40	40	pr61		25	25	pr29		150	250																																	0
Rixots Keen		1		5	1	3	2	ssd	Short Sword			5	5000	blac	blac			so0		so0	pr27		5	5	pr96		20	20	pr73		2	2	pr108		25	25	pr0		25	25	pr29		100	100																									0
Blood Crescent		1		5	1	10	7	scm	Scimitar			5	5000	lblu			invscmu	so0		so0	pr41		15	15	pr29		60	80	pr13		15	15	pr73		4	4	pr107		33	33	pr56		15	15	pr66		15	15																					0
Krintizs Skewer		1		5	1	14	10	sbr	Saber			5	5000	cblu			inv9sbu	so0		so0	pr92		1	1	pr7		10	10	pr8		10	10	pr65		7	7	pr29		50	50	pr140		3	7																									0
Gleamscythe		1		5	1	18	13	flc	Falchion			5	5000	lred			invflcu	so0		so0	pr73		3	3	pr11		30	30	pr0		20	20	pr56		20	20	pr29		60	100	pr137	50	3	5																									0
Azurewrath				5	1	18	13	crs	Crystal Sword			5	5000	lgry			invcrsu	so0		so0	pr113		50	50	pr59		10	10	pr137	100	3	6	pr29		100	100	pr51		25	25	pr136		5	10																									0
Griswolds Edge		1		5	1	23	17	bsd	Broad Sword			5	5000	cred			invbsdu	so0		so0	pr20		10	12	pr21		15	25	pr15		100	100	pr55		10	10	pr60		1	1	pr29		80	120	pr7		12	12																					0
Hellplague		1		5	1	30	22	lsd	Long Sword			5	5000	dred			invlsdu	so0		so0	pr65		5	5	pr66		5	5	pr24		48	48	pr25		96	96	pr26		150	150	pr29		70	80	pr134		25	75	pr103		2	2																	0
Culwens Point		1		5	1	39	29	wsd	War Sword			5	5000	whit	whit			so0		so0	pr104		1	1	pr88		50	50	pr80		20	20	pr56		20	20	pr15		60	60	pr29		70	80																									0
Shadowfang		1		5	1	16	12	2hs	2-Handed Sword			5	5000	cgrn			inv2hsu	so0		so0	pr65		9	9	pr35		20	20	pr73		-2	-2	pr137	150	10	30	pr29		100	100	pr66		9	9																									0
Soulflay		1		5	1	26	19	clm	Claymore			5	5000	dgrn	dgrn			so0		so0	pr65		4	10	pr66		4	4	pr29		70	100	pr41		5	5	pr56		10	10																													0
Kinemils Awl		1		5	1	31	23	gis	Giant Sword			5	5000	dblu			invgisu	so0		so0	pr15		100	150	pr11		20	20	pr20		6	6	pr21		20	40	pr29		80	100	pr123	102	6	6																									0
Blacktongue		1		5	1	35	26	bsw	Bastard Sword			5	5000	lgrn			invbswu	so0		so0	pr138	150	192	192	pr94		1	1	pr15		50	50	pr39		50	50	pr29		50	60			-10	-10																									0
Ripsaw		1		5	1	35	26	flb	Flamberge			5	5000	cblu	cblu			so0		so0	pr107		80	80	pr28		15	15	pr65		6	6	pr29		80	100																																	0
The Patriarch		1		5	1	39	29	gsd	Great Sword			5	5000	cred			invgsdu	so0		so0	pr3		3	3	pr6		3	3	pr91		1	1	pr58		100	100	pr29		100	120	pr7		10	10																									0
Gull		1		5	1	6	4	dgr	Dagger			5	5000	lgry	lgry			so0		so0	pr27		1	1	pr28		15	15	pr59		100	100	pr11		-5	-5																																	0
The Diggler		1		5	1	15	11	dir	Dirk			5	5000	dgry	dgry			so0		so0	pr8		10	10	pr29		50	50	pr57		30	30	pr35		25	25	pr31		25	25	pr92		1	1																									0
The Jade Tan Do		1		5	1	26	19	kri	Kris			5	5000	oran			invkrsu	so0		so0	pr15		100	150	pr115		1	1	pr138	100	460	460	pr39		95	95	pr40		20	20																													0
Irices Shard		1		5	1	34	25	bld	Blade			5	5000	dblu	dblu			so0		so0	pr87		50	50	pr11		50	50	pr15		55	55	pr41		10	10																																	0
The Dragon Chang		1		5	1	11	8	spr	Spear			5	5000	dpur	dpur			so0		so0	pr15		35	35	pr27		10	10	pr73		2	2	pr99		100	100	pr134		3	6																													0
Razortine		1		5	1	16	12	tri	Trident			5	5000	oran			invtriu	so0		so0	pr114		25	25	pr93		50	50	pr7		15	15	pr8		8	8	pr56		30	30	pr29		30	50																									0
Bloodthief		1		5	1	23	17	brn	Brandistock			5	5000	whit	whit			so0		so0	pr107		35	35	pr7		10	10	pr66		8	12	pr13		26	26	pr29		50	70																													0
Lance of Yaggai		1		5	1	30	22	spt	Spetum			5	5000	lred	lred			so0		so0	pr54		8	8	pr22		1	1	pr23		60	60	pr41		15	15	pr56		40	40																													0
The Tannr Gorerod		1		5	1	36	27	pik	Pike			5	5000	lgry	lgry			so0		so0	pr20		23	23	pr21		54	54	pr32		15	15	pr13		30	30	pr15		60	60	pr73		3	3	pr31		15	15	pr29		80	100																	0
Dimoaks Hew		1		5	1	11	8	bar	Bardiche			5	5000	blac	blac			so0		so0	pr8		15	15	pr29		100	100	pr56		20	20	pr0		-8	-8																																	0
Steelgoad		1		5	1	19	14	vou	Voulge			5	5000	cgrn	cgrn			so0		so0	pr90		96	96	pr113		30	30	pr15		30	30	pr41		5	5	pr29		60	80	pr51		20	40																									0
Soul Harvest		1		5	1	26	19	scy	Scythe			5	5000	dgry			invscyu	so0		so0	pr107		30	30	pr15		45	45	pr41		20	20	pr29		50	90	pr65		10	10	pr10		5	5																									0
The Battlebranch		1		5	1	34	25	pax	Poleaxe			5	5000	lblu	lblu			so0		so0	pr57		30	30	pr8		10	10	pr29		50	70	pr15		50	100	pr66		7	7																													0
Woestave		1		5	1	38	28	hal	Halberd			5	5000	dblu	dblu			so0		so0	pr114		50	50	pr107		50	50	pr91		3	3	pr97		-50	-50	pr106		1	1	pr73		-3	-3	pr94		1	1	pr29		20	40			-30	-30													0
The Grim Reaper		1		5	1	39	29	wsc	War Scythe			5	5000	lpur	lpur			so0		so0	pr113		100	100	pr94		1	1	pr65		5	5	pr29		20	20	pr27		15	15			-20	-20																									0
Bane Ash		1		5	1	7	5	sst	Short Staff			5	5000	lgrn	lgrn			so0		so0	pr20		4	4	pr21		6	6	pr31		50	50	pr11		30	30	pr56		20	20	pr29		50	60	pr123	36	5	5	pr123	37	2	2																	0
Serpent Lord		1		5	1	12	9	lst	Long Staff			5	5000	cgrn	cgrn			so0		so0	pr138	75	40	40	pr39		50	50	pr73		-1	-1	pr11		10	10	pr29		30	40	pr65		100	100	pr93		50	50																					0
Lazarus Spire		1		5	1	24	18	cst	Gnarled Staff			5	5000	lgry			invcstu	so0		so0	pr33		75	75	pr3		5	5	pr10		15	15	pr123	53	1	1	pr123	49	2	2	pr123	42	3	3	pr62		43	43	pr135		1	28	pr70		1	1													0
The Salamander		1		5	1	28	21	bst	Battle Staff			5	5000	dred	dred			so0		so0	pr134		15	32	pr31		30	30	pr123	51	1	1	pr123	47	2	2	pr123	37	3	3	pr103		2	2																									0
The Iron Jang Bong		1		5	1	38	28	wst	War Staff			5	5000	dyel	dyel			so0		so0	pr0		30	30	pr87		20	20	pr29		100	100	pr96		50	50	pr123	48	2	2	pr123	46	2	2	pr123	44	3	3	pr70		2	2																	0
Pluckeye		1		5	1	10	7	sbw	Short Bow			5	5000	cblu	cblu			so0		so0	pr15		28	28	pr29		100	100	pr13		10	10	pr73		2	2	pr65		3	3	pr110		2	2																									0
Witherstring		1		5	1	18	13	hbw	Hunter’s Bow			5	5000	lred	lred			so0		so0	pr57		30	30	pr27		1	1	pr28		3	3	pr15		50	50	pr119		3	3	pr29		40	50																									0
Rimeraven		1		5	1	20	15	lbw	Long Bow			5	5000	dred	dred			so0		so0	pr96		50	50	pr8		3	3	pr120		3	3	pr7		3	3	pr29		60	70																													0
Piercerib		1		5	1	27	20	cbw	Composite Bow			5	5000	cred			invcbwu	so0		so0	pr41		10	10	pr113		30	30	pr15		60	60	pr99		100	100	pr29		40	60	pr56		50	50																									0
Pullspite		1		5	1	34	25	sbb	Short Battle Bow			5	5000	lgrn			invsbbu	so0		so0	pr135		1	30	pr7		8	8	pr15		28	28	pr118		25	25	pr33		25	25	pr29		70	90																									0
Wizendraw		1		5	1	35	26	lbb	Long Battle Bow			5	5000	dgrn	dgrn			so0		so0	pr119		5	5	pr11		30	30	pr56		20	20	pr35		26	26	pr15		50	100	pr29		70	80	pr10		15	15	pr234		20	35																	0
Hellclap		1		5	1	36	27	swb	Short War Bow			5	5000	cgrn			invswbu	so0		so0	pr55		10	10	pr20		15	15	pr21		30	50	pr15		50	75	pr31		40	40	pr8		12	12	pr29		70	90	pr103		1	1																	0
Blastbark		1		5	1	38	28	lwb	Long War Bow			5	5000	lyel	lyel			so0		so0	pr29		70	130	pr7		5	5	pr67		1	1	pr65		3	3	pr123	16	2	2																													0
Leadcrow		1		5	1	12	9	lxb	Light Crossbow			5	5000	dyel			invlxbu	so0		so0	pr8		10	10	pr13		10	10	pr29		70	70	pr39		30	30	pr113		25	25	pr15		40	40																									0
Ichorsting		1		5	1	24	18	mxb	Crossbow			5	5000	lgld			invmxbu	so0		so0	pr138	75	102	102	pr8		20	20	pr118		50	50	pr15		50	50	pr29		50	50	pr56		20	20																									0
Hellcast		1		5	1	36	27	hxb	Heavy Crossbow			5	5000	dgld			invhxbu	so0		so0	pr120		5	5	pr32		15	15	pr31		15	15	pr15		70	70	pr56		20	20	pr29		70	80	pr134		15	35																					0
Doomspittle		1		5	1	38	28	rxb	Repeating Crossbow			5	5000	lpur			invrxbu	so0		so0	pr67		1	1	pr118		35	35	pr57		30	30	pr13		15	15	pr29		60	100																													0
War Bonnet		1		5	1	4	3	cap	Cap			5	5000	dpur			invcapu	so0		so0	pr13		15	15	pr15		30	30	pr29		30	30	pr11		15	15	pr0		14	14																													0
Tarnhelm		1		5	1	20	15	skp	Skull Cap			5	5000	oran	oran			so0		so0	pr58		75	75	pr59		25	50	pr104		1	1																																					0
Coif of Glory		1		5	1	19	14	hlm	Helm			5	5000	whit			invhlmu	so0		so0	pr105		7	7	pr91		1	1	pr33		15	15	pr1		100	100	pr0		10	10																													0
Duskdeep		1		5	1	23	17	fhl	Full Helm			5	5000	lgry			invfhlu	so0		so0	pr73		-2	-2	pr41		15	15	pr3		7	7	pr28		8	8	pr0		10	20	pr5		30	50																									0
Wormskull		1		5	1	28	21	bhm	Bone Helm			5	5000	lgrn			invbhmu	so0		so0	pr69		1	1	pr66		5	5	pr11		10	10	pr39		25	25	pr138	200	102	102																													0
Howltusk		1		5	1	34	25	ghm	Great Helm			5	5000	dgry	dgry			so0		so0	pr6		2	2	pr54		3	3	pr5		80	80	pr30		35	35	pr60		1	1	pr90		33	33																									0
Undead Crown		1		5	1	39	29	crn	Crown			5	5000	blac	blac			so0		so0	pr66		5	5	pr0		40	40	pr39		50	50	pr95		1	1	pr5		30	60	pr99		50	50	pr101		50	100	pr123	69	3	3																	0
The Face of Horror		1		5	1	27	20	msk	Mask			5	5000	lblu	lblu			so0		so0	pr90		64	64	pr7		20	20	pr41		10	10	pr99		50	50	pr0		25	25																													0
Greyform		1		5	1	10	7	qui	Quilted Armor			5	5000	lgry	lgry			so0		so0	pr6		3	3	pr35		20	20	pr31		20	20	pr8		10	10	pr66		5	5	pr0		20	20																									0
Blinkbats Form		1		5	1	16	12	lea	Leather Armor			5	5000	dred	dred			so0		so0	pr1		50	50	pr77		10	10	pr0		25	25	pr20		3	3	pr21		6	6	pr80		40	40																									0
The Centurion		1		5	1	19	14	hla	Hard Leather			5	5000	cred	cred			so0		so0	pr0		30	30	pr15		50	50	pr3		2	2	pr13		15	15	pr11		15	15	pr63		15	15	pr53		5	5	pr116		25	25																	0
Twitchthroe		1		5	1	22	16	stu	Studded Leather			5	5000	lgrn	lgrn			so0		so0	pr56		20	20	pr8		10	10	pr16		25	25	pr0		25	25	pr7		10	10	pr80		20	20																									0
Darkglow		1		5	1	19	14	rng	Ring Mail			5	5000	dgrn	dgrn			so0		so0	pr15		20	20	pr42		5	5	pr73		3	3	pr2		50	50	pr41		10	10	pr5		70	100																									0
Hawkmail		1		5	1	20	15	scl	Scale Mail			5	5000	cgrn	cgrn			so0		so0	pr5		80	100	pr36		15	15	pr35		15	15	pr115		1	1	pr77		10	10																													0
Sparking Mail		1		5	1	23	17	chn	Chain Mail			5	5000	lyel	lyel			so0		so0	pr5		75	85	pr135		1	20	pr105		10	14	pr33		30	30																																	0
Venomsward		1		5	1	27	20	brs	Breast Plate			5	5000	dyel	dyel			so0		so0	pr40		15	15	pr88		50	50	pr39		90	90	pr73		2	2	pr5		60	100																													0
Iceblink		1		5	1	30	22	spl	Splint Mail			5	5000	lgld	lgld			so0		so0	pr106		1	1	pr35		30	30	pr73		4	4	pr6		1	1	pr5		70	80																													0
Boneflesh		1		5	1	35	26	plt	Plate Mail			5	5000	dgld	dgld			so0		so0	pr66		5	5	pr5		100	120	pr15		35	35	pr107		25	25																																	0
Rockfleece		1		5	1	38	28	fld	Field Plate			5	5000	dgry	dgry			so0		so0	pr75		-10	-10	pr5		100	130	pr4		10	10	pr3		5	5	pr7		5	5																													0
Rattlecage		1		5	1	39	29	gth	Gothic Plate			5	5000	dpur	dpur			so0		so0	pr90		52	52	pr15		45	45	pr108		25	25	pr0		200	200																																	0
Goldskin		1		5	1	38	28	ful	Full Plate Mail			5	5000	oran			invfulu	so0		so0	pr5		120	150	pr41		35	35	pr54		10	10	pr73		2	2	pr58		100	100																													0
Victors Silk		1		5	1	38	28	aar	AncientArmor			5	5000	dblu			invaaru	so0		so0	pr65		5	5	pr104		1	1	pr73		2	2	pr5		100	120																																	0
Heavenly Garb		1		5	1	39	29	ltp	Light Plate			5	5000	cblu	cblu			so0		so0	pr5		100	100	pr41		10	10	pr62		25	25	pr10		15	15	pr99		50	50	pr101		100	100																									0
Pelta Lunata		1		5	1	3	2	buc	Buckler			5	5000	whit			invbucu	so0		so0	pr0		30	30	pr9		10	10	pr7		2	2	pr10		10	10	pr5		30	40	pr16		20	20	pr83		40	40	pr51		8	12																	0
Umbral Disk		1		5	1	12	9	sml	Small Shield			5	5000	lgry			invsmlu	so0		so0	pr91		1	1	pr8		10	10	pr0		30	30	pr13		20	20	pr73		-2	-2	pr5		40	50	pr16		30	30	pr51		10	15																	0
Stormguild		1		5	1	18	13	lrg	Large Shield			5	5000	dgry			invlrgu	so0		so0	pr6		1	1	pr33		25	25	pr0		30	30	pr135		1	6	pr5		50	60	pr16		30	30	pr105		3	3	pr51		10	15																	0
Wall of the Eyeless		1		5	1	27	20	bsh	Bone Shield			5	5000	lgld			invbshu	so0		so0	pr110		5	5	pr65		3	3	pr86		20	20	pr39		20	20	pr5		30	40	pr0		10	10																									0
Swordback Hold		1		5	1	20	15	spk	Spiked Shield			5	5000	lred			invspku	so0		so0	pr54		5	5	pr16		20	20	pr107		50	50	pr112		3	5	pr5		30	60	pr54		5	5	pr0		10	10																					0
Steelclash		1		5	1	23	17	kit	Kite Shield			5	5000	blac			invkitu	so0		so0	pr16		25	25	pr68		1	1	pr3		3	3	pr73		3	3	pr5		60	100	pr83		20	20	pr41		15	15	pr0		20	20	pr51		15	20													0
Bverrit Keep		1		5	1	26	19	tow	Tower Shield			5	5000	lblu			invtowu	so0		so0	pr0		30	30	pr31		75	75	pr7		5	5	pr6		5	5	pr5		80	120	pr16		10	10	pr51		80	100																					0
The Ward		1		5	1	35	26	gts	Gothic Shield			5	5000	dblu			invgtsu	so0		so0	pr0		40	40	pr6		2	2	pr7		10	10	pr16		10	10	pr5		100	100	pr41		30	50																									0
The Hand of Broc		1		5	1	7	5	lgl	Gloves			5	5000	cblu	cblu			so0		so0	pr65		3	3	pr66		3	3	pr39		10	10	pr11		20	20	pr0		10	10	pr5		10	20																									0
Bloodfist		1		5	1	12	9	vgl	Heavy Gloves			5	5000	oran	oran			so0		so0	pr27		5	5	pr13		40	40	pr80		30	30	pr0		10	10	pr5		10	20	pr56		10	10																									0
Chance Guards		1		5	1	20	15	mgl	Bracers			5	5000	lred	lred			so0		so0	pr58		200	200	pr59		25	40	pr15		25	25	pr0		15	15	pr73		2	2	pr5		20	30																									0
Magefist		1		5	1	31	23	tgl	Light Gauntlets			5	5000	lgry	lgry			so0		so0	pr87		20	20	pr62		25	25	pr103		1	1	pr134		1	6	pr0		10	10	pr5		20	30																									0
Frostburn		1		5	1	39	29	hgl	Gauntlets			5	5000	dred	dred			so0		so0	pr0		30	30	pr29		5	5	pr12		40	40	pr137	50	1	6	pr5		10	20																													0
Hotspur		1		5	1	7	5	lbt	Leather Boots			5	5000	cred	cred			so0		so0	pr32		15	15	pr13		15	15	pr134		3	6	pr0		6	6	pr31		45	45	pr5		10	20																									0
Gorefoot		1		5	1	12	9	vbt	Heavy Boots			5	5000	dblu	dblu			so0		so0	pr112		3	5	pr77		20	20	pr65		2	2	pr54		2	2	pr0		12	12	pr5		20	30	pr123	132	2	2																					0
Treads of Cthon		1		5	1	20	15	mbt	Chain Boots			5	5000	lgrn	lgrn			so0		so0	pr77		30	30	pr1		50	50	pr116		50	50	pr13		10	10	pr0		12	12	pr5		30	40																									0
Goblin Toe		1		5	1	30	22	tbt	Light Plate Boots			5	5000	dgry	dgry			so0		so0	pr108		25	25	pr3		1	1	pr6		1	1	pr0		15	15	pr73		-1	-1	pr5		50	60																									0
Tearhaunch		1		5	1	39	29	hbt	Plate Boots			5	5000	dgrn	dgrn			so0		so0	pr0		35	35	pr7		5	5	pr8		5	5	pr77		20	20	pr41		10	10	pr5		60	80	pr123	115	2	2																					0
Lenyms Cord		1		5	1	10	7	lbl	Sash			5	5000	cgrn	cgrn			so0		so0	pr11		15	15	pr62		30	30	pr41		5	5	pr73		1	1																																	0
Snakecord		1		5	1	16	12	vbl	Light Belt			5	5000	blac	blac			so0		so0	pr138	75	40	40	pr39		25	25	pr0		10	10	pr5		20	30	pr53		5	5	pr88		50	50																									0
Nightsmoke		1		5	1	27	20	mbl	Belt			5	5000	lyel	lyel			so0		so0	pr41		10	10	pr30		50	50	pr11		20	20	pr3		2	2	pr0		15	15	pr5		30	50																									0
Goldwrap		1		5	1	36	27	tbl	Heavy Belt			5	5000	lblu	lblu			so0		so0	pr59		30	30	pr73		2	2	pr0		25	25	pr56		10	10	pr5		40	60	pr58		50	80																									0
Bladebuckle		1		5	1	39	29	hbl	Girdle			5	5000	dyel	dyel			so0		so0	pr54		8	8	pr0		30	30	pr3		3	3	pr7		5	5	pr8		10	10	pr5		80	100	pr80		30	30																					0
Nokozan Relic		1		100	1	14	10	amu	Amulet			5	5000	lgld				so0		so0	pr134		3	6	pr32		10	10	pr31		50	50	pr73		3	3	pr80		20	20																													0
The Eye of Etlich		1		100	1	20	15	amu	Amulet			5	5000	dgld				so0		so0	pr1		10	40	pr73		1	5	pr104		1	1	pr66		3	7	pr17		1	2	pr18		3	5	pr19		50	250																					0
The Mahim-Oak Curio		1		100	1	34	25	amu	Amulet			5	5000	lpur				so0		so0	pr8		10	10	pr7		10	10	pr10		10	10	pr9		10	10	pr0		10	10	pr96		10	10	pr41		10	10	pr5		10	10																	0
Nagelring		1		100	1	10	7	rin	Ring			5	5000	dpur				so0		so0	pr6		3	3	pr54		3	3	pr15		50	75	pr59		15	30																																	0
Manald Heal		1		100	1	20	15	rin	Ring			5	5000	oran				so0		so0	pr65		4	7	pr53		5	8	pr13		20	20	pr62		20	20																																	0
The Stone of Jordan		1		5	1	39	29	rin	Ring			5	5000	whit				so0		so0	pr11		20	20	pr12		25	25	pr22		1	1	pr104		1	1	pr23		12	12																													0
Amulet of the Viper		1		5	1			vip	Amulet			5	5000	lgry				so0		so0	pr11		10	10	pr39		25	25	pr13		10	10																																					0
Staff of Kings		1		5	1			msf	Staff			5	5000	dgry				so0		so0	pr41		10	10	pr57		50	50																																									0
Horadric Staff		1		5	1			hst	Staff			5	5000	blac				so0		so0	pr11		10	10	pr39		25	25	pr13		10	10	pr41		10	10	pr57		50	50																													0
Hell Forge Hammer		1		5	1			hfh	Hammer			5	5000	cred				so0		so0	pr20		5	5	pr21		20	20	pr31		40	40	pr0		35	35																																	0
KhalimFlail		1		5	1			qf1	Flail			5	5000	dblu				so0		so0	pr22		1	1	pr23		20	20	pr57		50	50	pr15		40	40																																	0
SuperKhalimFlail		1		5	1			qf2	Flail			5	5000	dblu				so0		so0	pr22		1	1	pr23		40	40	pr57		50	50	pr15		40	40	pr65		6	6	pr66		6	6																									0
Expansion																																																																					0
Coldkill	100	1		5	1	44	36	9ha	Hatchet			5	5000	cblu	cblu		invhaxu	so0		so0	pr137	50	40	40	pr35		15	15	pr36		15	15	pr57		30	30	pr127	45	10	10	pr128	44	10	5	pr29		150	190																					0
Butcher's Pupil	100	1		5	1	47	39	9ax	Cleaver			5	5000	cblu	cblu		invaxeu	so0		so0	pr113		35	35	pr107		25	25	pr29		150	200	pr242		1	1	pr57		30	30	pr140		30	50																									0
Islestrike	100	1		5	1	51	43	92a	Twin Axe			5	5000					so0		so0	pr121		2	2	pr7		10	10	pr8		10	10	pr9		10	10	pr10		10	10	pr1		50	50	pr108		25	25	pr29		170	190	pr123	233	1	1	pr123	248	1	1									0
Pompe's Wrath	100	1		5	1	53	45	9mp	Crowbill			5	5000	cred	cred		invmpiu	so0		so0	pr127	244	4	8	pr114		50	50	pr134		35	150	pr60		1	1	pr29		140	170																													0
Guardian Naga	100	1		5	1	56	48	9wa	Naga			5	5000					so0		so0	pr127	92	5	8	pr54		15	15	pr39		30	30	pr29		150	180	pr138	250	256	256	pr28		20	20																									0
Warlord's Trust	100	1		5	1	43	35	9la	Military Axe			5	5000	whit	whit			so0		so0	pr0		75	75	pr53		20	20	pr150	4			pr41		10	10	pr179	25			pr29		175	175																									0
Spellsteel	100	1		5	1	47	39	9ba	Bearded Axe			5	5000	whit	whit			so0		so0	pr75		-60	-60	pr11		100	100	pr6		12	15	pr85		10	10	pr29		165	165	pr62		25	25	pr243	54	20	1	pr243	87	30	3	pr243	101	100	10	pr243	225	60	12									0
Stormrider	100	1		5	1	49	41	9bt	Tabar			5	5000	lred	lred		inv9btu	so0		so0	pr127	53	5	10	pr127	38	10		pr135		1	200	pr140		35	75	pr29		100	100	pr51		50	50	pr105		15	15	pr128	38	15	5																	0
