skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
sk13	13	ama	sd13																																											st65		is338	dm12																												so2236	so0			so0	so0	so0		so0		so0																						1			h2h												S1	S1	xx																							so0			6	20													1							8			1						1												10	min % dodge	65	max % dodge													1								8																																				384	3000
sk14	14	ama	sd14	6	2																																																																								so0	so0			so0	so0	so0		so0		so0																						1	4		h2h		spea										A1	A1	xx				1		1	1								1								so0			6	20					sk10								1						1	6	8	1	1																																10	damage synergy	1	20	12						8	128														ltng	1						16	18	36	54	72	90	(((skill('sk34'.blvl)+skill('sk20'.blvl))+skill('sk24'.blvl))+skill('sk35'.blvl))*par8								384	3000
sk15	15	ama	sd15	4										ml38																																																															so2232	so0	1		so0	so0	so0		so0		so0				11					ml38													1	2		rng		jave										TH	TH	xx				1																			so0			6	20												15	1						1	6	16	1	1																																12	damage synergy	1									128														pois	32	16	32	48	64	96	48	16	36	52	68	84	skill('sk25'.blvl)*par8	200	50	50	50				384	3000
sk16	16	ama	sd16	4										ml41																																																															so0	so0			so0	so0	so0		so0		so0				11					ml41													1	5		rng		miss										A1	A1	xx				1																			so0			12	20					sk7	sk12							1		1				1	7	10	1	1																																12	damage synergy	1	20	9						8	128														fire	2	5	7	9	12	20	6	5	8	11	14	23	skill('sk7'.blvl)*par8								512	8000
sk17	17	ama	sd17		6																50563		st87	ln34	ln56	is161	ln12																																																		so2246	so0			so0	so0	so0		so0		so0	ol49																					1	8		none												SC	SC	xx					4												1						so2246	ol49		12	20					sk8														1	7	10		1																		33	% velocity for missiles		% velocity per level	300	duration	150	duration per level	20	radius of effect		radius per level					1								8																																				512	8000
sk18	18	ama	sd18																																											st66		is339	dm12																												so2236	so0			so0	so0	so0		so0		so0																						1			h2h												S1	S1	xx																							so0			12	20					sk13								1							8			1						1												15	min % avoid	75	max % avoid													1								8																																				512	8000
sk19	19	ama	sd19	7	2																																																																								so2247	so0	1	1	so0	so0	so0		so0		so0																						1	6		h2h		spea										SQ	A1	xx	8		1	1		1	1								1								so0			12	20					sk10								1						1	8	3		1										ln12	dm%	par6-dm34	dur loss chance	par5	dur loss			300	Percent damage	25	% damage per level		% chance durability loss delta min	30	% chance durability loss delta max	1	durability loss	50	% max chance durability loss					1	100	25						8	128																																			512	8000
sk20	20	ama	sd20		124																42883	st207		ln56	min(90,par3+stat('is454'.accr)/10)																																																				so2380	so0			so0	so0	so0		so0		so0										ml694				1		25						1	2		none												SC	SC	xx				1													1						so2380			18	20					sk15								1						1	8	25		1																						18		3		1500		150		35		10	damage synergy	1				1	2			8		30	40	50	60	70	76	40	40	50	60	70	80	(((skill('sk15'.blvl)+skill('sk25'.blvl))+skill('sk10'.blvl))+stat('is435'.accr))*par8																						640	16000
sk21	21	ama	sd21	4										ml28																																																															so0	so0			so0	so0	so0		so0		so0				11					ml28													1	6		rng		miss										A1	A1	xx				1																			so0			18	20					sk11								1		1				1	6	16	1	1																														5	length synergy	8	damage synergy	1	20	9						8	128														cold	6	6	12	18	26	36	10	6	13	19	27	38	skill('sk11'.blvl)*par8	50	5	5	5	skill('sk31'.blvl)*par7			640	16000
sk22	22	ama	sd22	4	10										1		ml86	ml86	ml86																																																										so0	so0			so0	so0	so0		so0		so0				11	18					ml86	ml86	ml86										1	4		rng		miss										A1	A1	xx				1																			so0			18	20					sk11	sk12							1		1				1	6	32	-1	1										ln34	+ dmg%												Damage percent	5	damage % per level									1								8	128																																			640	16000
sk23	23	ama	sd23																																											st67		is119	ln12																												so0	so0			so0	so0	so0		so0		so0																						1	1		rng		spea	miss											xx																							so0			18	20					sk9								1							8			1						1												35	add % to hit with missiles base	10	add % to hit with missiles/level													1								8																																				640	16000
sk24	24	ama	sd24	6	11												ml215	ml215	ml215																																																										so0	so0			so0	so0	so0		so0		so0					19					ml215	ml215	ml215										1	5		h2h		spea										A1	A1	xx				1		1	1								1								so0			18	20					sk14	sk20							1						1	6	16	1	1										par1+lvl/par2	# bolts							3	Bolts to send out	5	Additional bolts per N levels											10	damage synergy	1								8															ltng	1						30	12	16	20	24	28	(((skill('sk34'.blvl)+skill('sk20'.blvl))+skill('sk14'.blvl))+skill('sk35'.blvl))*par8								640	16000
sk25	25	ama	sd25	4										ml43																																																															so2232	so0	1		so0	so0	so0		so0		so0				11					ml43													1	3		rng		jave										TH	TH	xx				1																			so0			18	20					sk20							100	1				1		1	7	14	1	1																																10	damage synergy	1	30	9						3	128														pois	10	6	12	20	40	60	16	6	12	20	40	60	skill('sk15'.blvl)*par8	75	10	10	10				640	16000
sk26	26	ama	sd26	8	12												ml682	ml683							par5																																																				so2236	so0			so0	so2376	so0		so0		so0				13	20					ml213	ml214											1			rng		miss										A1	A1	xx				1																			so0			24	20					sk22								1		1				1	8	11												min((par3+lvl)-1,par4)	#missiles	ln12	damage %	2+lvl/4	min # missiles			5	Damage increase	5	Damage increase per level	4	Base Shots to take (+1 per level)	10	Max shots to take	35	Radius	50	% frame rollback					1								8	96																																			768	32000
sk27	27	ama	sd27		124																42883	st201		ln56	min(90,par3+stat('is455'.accr)/10)																																																				so0	so0			so0	so0	so0		so0		so0										ml28				1		25						1	2		none												SC	SC	xx				1																			so0			24	20					sk16								1		1				1	8	25		1											fire disc radius		damage radius						Fire disc radius		Radial Damage Radius	18		3		1500		150				10	damage synergy	1				1	2			8															cold	30	40	50	60	70	76	40	40	50	60	70	80	(((skill('sk7'.blvl)+skill('sk16'.blvl))+skill('sk22'.blvl))+stat('is437'.accr))*par8								768	32000
sk28	28	ama	sd28		15																	st63				is39	min(lvl*par7,85)	is41	min(lvl*par7,85)	is43	min(lvl*par7,85)	is45	min(lvl*par7,85)																											ms356	pt8	1	NU												ol171		so2275	so0			so0	so0	so0		so0		so0																						1	4		none												SC	SC	xx					4																		so0			24	20					sk17														1	6	76	-3	1										lvl*par4	bonus hp%	ln12	duration	par3	%hp of caster			250	duration of decoy	125	duration per level	50	percent hitpoints of caster	10	hp % bonus per level					4	resistances			1								8																																				768	32000
sk29	29	ama	sd29																																											st68		is340	dm12																												so2236	so0			so0	so0	so0		so0		so0																						1			h2h												S1	S1	xx																							so0			24	20					sk18								1							8			1						1												10	min % evade	65	max % evade													1								8																																				768	32000
sk30	30	ama	sd30	9	13																																																																								so0	so2251	1		so0	so0	so0		so0		so0				14	21																	1			h2h		spea										A1	A1	xx	9		1			1	1								1								so0			24	20					sk19								1						1	8	5												12	max targets	ln34	damage %					1	additional target/level	60	% frame rollback	70	% damage percent	10	damage % per level									1	40	10						8	128																																			768	32000
sk31	31	ama	sd31	4																	42883	st201		ln56	min(90,par3+stat('is454'.accr)/10)																																																				so2380	so0			so0	so0	so0		so0		so0														1		25						1	2		none												SC	SC	xx				1													1						so2380			18	20					sk21								1		1				1	6	20	1	1											damage radius								Radius of impact			18		8		1500		150		10	length synergy	10	damage synergy	1				1	2			8															cold	10	18	20	21	31	38	20	25	30	35	38	40	((skill('sk11'.blvl)+skill('sk21'.blvl))+skill('sk22'.blvl))*par8								640	16000
sk32	32	ama	sd32		16																					is0	lvl*par2	is2	lvl*par4	is39	lvl*3	is41	lvl*3	is43	lvl*3	is45	lvl*3											is16	par3*(lvl-1)	is19	toht	is37	lvl*3	is36	lvl*3					ms357	pt2	1	NU	sk13	skill('sk13'.blvl)	sk18	skill('sk18'.blvl)	sk29	skill('sk29'.blvl)	sk9	skill('sk9'.blvl)						so2275	so0			so0	so0	so0		so0		so0																						1	6		none												SC	SC	xx					4												1						so0			30	20					sk28							150							1	8	25	1	1	1									par1*(lvl-1)+skill('sk28'.blvl)*par8	bonus hp%	ln56	itemlevel					20	% hitpoints more per level	25	str per level	10	% AC increase per level	12	dex per level	25	Magic Item level	3	Magic Item level per level	2	resistances	20	hp synergy	1			40*lvl+40*skill('sk23'.blvl)					8																																				896	64000
sk33	33	ama	sd33																																											st69		is166	dm12																												so0	so0			so0	so0	so0		so0		so0																						1			rng		miss												xx																							so0			30	20					sk23								1							8			1	1					1												10	min % chance	100	max % chance													1								8																																				896	64000
sk34	34	ama	sd34		124																42883	st190		ln56	min(90,par3+stat('is453'.accr)/10)																																																				so2380	so0			so0	so0	so0		so0		so0														1		25						1	8		none												SC	SC	xx				1											1								so0			30	20					sk24								1						1	8	25		1											radius		hits						radius of jump to next target			18	Target hits	3	Target hits per level	1500		150		10		10	damage synergy	1				1	2			8															ltng	30	40	50	60	70	76	40	40	50	60	70	80	(((skill('sk24'.blvl)+skill('sk14'.blvl))+skill('sk35'.blvl))+stat('is436'.accr))*par8								896	64000
sk35	35	ama	sd35	4										ml206							42371				par3																																																				so0	so0			so0	so0	so0		so0		so0				11					ml206													1	8		rng		jave										TH	TH	xx																							so0			30	20					sk25								1						1	7	5		1										ln12	num targets							10	lightning spells from target	1	extra spells/level	30	Target search radius									3	damage synergy	1								8	128														ltng	20	10	15	20	25	25	40	20	30	40	50	50	(((skill('sk24'.blvl)+skill('sk20'.blvl))+skill('sk14'.blvl))+skill('sk34'.blvl))*par8								896	64000
sk36	36	sor	sd36											ml58																																																															so2399	so0			so0	so0	so0		so0		so0	ol29								ml58													1	2		none												SC	SC	xx																	1						so2399			1	20													1						1	7	5		1																																16	damage synergy	1								7															fire	6	3	4	8	18	54	12	3	6	10	20	56	(skill('sk47'.blvl)+skill('sk56'.blvl))*par8								256	1000
sk37	37	sor	sd37																																											st70		is27	ln12																												so0	so0			so0	so0	so0		so0		so0																						1			none												SC	SC	xx																							so0			1	20													1							8			1	1					1												30	increase in mana recovery	12	additional increase/level													1								8															fire																					256	1000
sk38	38	sor	sd38		17												ml56	ml56	ml56																																																										so2398	so0			so0	so0	so0		so0		so0	ol34				23					ml56												1	1		none												SC	SC	xx																	1						so2398			1	20													1						1	5	24	4	1										min(24,ln12)	# bolts							3	Bolts to send out	1	Additional bolts per level											6	damage synergy	1								7															ltng	4	1	1	2	3	4	8	1	1	2	3	4	skill('sk49'.blvl)*par8								256	1000
sk39	39	sor	sd39		124																42883	st144		500+skill('sk361'.ln12)	min(90,par3+stat('is462'.accr)/10)																																																				so2397	so0			so0	so0	so0		so0		so0	ol33									ml59	ml59	ml59		1		75						1			none												SC	SC	xx				1																			so2397	ol33		1	20																			1	8	25		1																		50		1500		18		3								10	damage synergy	1				1	2			8															cold	30	40	50	60	70	76	40	40	50	60	70	80	((skill('sk59'.blvl)+skill('sk45'.blvl))+skill('sk64'.blvl))*par8	50							768	32000
sk40	40	sor	sd40		18																	st10		ln34+(skill('sk50'.blvl)+skill('sk60'.blvl))*par7		is171	ln12											ev1	2																																						so2397	so0			so2423	so0	so0		so0		so0	ol31	ol42																				1			none												SC	SC	xx																	1						so2397	ol31		1	20																			1	8	7		1	1									(ln56*(100+(skill('sk50'.blvl)+skill('sk60'.blvl))*par8))/100	freeze length							30	% AC base	5	% AC per level	3000	Duration	300	Duration per level	30	Freeze Frames	3	Freeze Frames per level	250	duration synergy	5	freeze synergy	1								8																																		1		256	1000
sk41	41	sor	sd41	11	19												ml60	ml60	ml60						ln12/4-2																																																				so0	so0			so0	so0	so0		so0		so0				15	24					ml60	ml61											1	7		rng												SQ	SQ	xx	6	10																					so0			6	20													1	1				6		2	36	1	1										ln12/2	range	20	frames if monster					20	base ranged (doubled)	3	level range (doubled)	6	Min Mana to start casting									13	damage synergy	1								2															fire	32	24	26	28	32	36	64	24	27	29	33	37	skill('sk37'.blvl)*par8								384	3000
sk42	42	sor	sd42		20																34691				ln12																																																				so2398	so0			so0	so0	so0		so0		so0	ol34																					1	10		none												SC	SC	xx					4												1						so2398			6	20																			1	8	9		1										par4	damage %	par3	min damage					5	Base radius of effect.	1	Level radius bonus.		Minimum Damage.	25	Percent Damage.									1								8															ltng																					384	3000
sk43	43	sor	sd43	12	21																				par1																																																				so2398	so0			so2442	so0	so0		so0		so0	ol186																					1	10		none												SC	SC	xx														1									so2442			6	20																			1	8	7		1																		25	On-screen cast range.	35	Chance to knockback/stun.													1				5	2	109		8															ltng	1	1	1	1	1	1	2	1	1	1	1	1									384	3000
sk44	44	sor	sd44		22												ml119	ml119	ml119																																																										so2397	so0			so0	so0	so0		so0		so0	ol32				25					ml119												1	6		none												SC	SC	SC																	36	10					so2397			6	20																			1	8	9	1	1																		9	radius of freeze	3	additional radius/level											10	damage synergy	1								7															cold	4	4	6	8	10	12	8	5	7	9	11	13	(skill('sk59'.blvl)+skill('sk64'.blvl))*par8	200	25	25	25				384	3000
sk45	45	sor	sd45											ml91																																																															so2397	so0			so0	so0	so0		so0		so0	ol31								ml91													1	6		none												SC	SC	xx																	1						so2397			6	20					sk39								1						1	7	12	1	1																		75	Duration of freeze	5	additional duration/level									10	freeze synergy	8	damage synergy	1								7															cold	16	14	28	42	56	70	24	15	29	43	57	71	((skill('sk39'.blvl)+skill('sk59'.blvl))+skill('sk64'.blvl))*par8	75	5	5	5	skill('sk55'.blvl)*par7			384	3000
sk46	46	sor	sd46		23												ml67	ml67	ml67			st13		dm12																																																					so2399	so0			so0	so0	so0		so0		so0	ol30								ml67	ml69	ml104	ml105										1	3		none												SC	SC	xx																	1						so0			12	20					sk41														1	7	22	1	1																		50	Min Frames	500	Max Frames									1	damage synergy	4	damage synergy	1								4															fire	4	2	3	4	6	9	8	2	3	4	6	9	skill('sk37'.blvl)*par8+skill('sk51'.blvl)*par7								512	8000
sk47	47	sor	sd47											ml62																																																															so2399	so0			so0	so0	so0		so0		so0	ol30								ml62													1	5		none												SC	SC	xx																	1						so2399			12	20					sk36								1						1	7	10	1	1																																14	damage synergy	1								7															fire	12	13	23	28	33	38	28	15	25	30	35	40	(skill('sk36'.blvl)+skill('sk56'.blvl))*par8								512	8000
sk48	48	sor	sd48		22												ml90	ml90	ml90																																																										so2398	so0			so0	so0	so0		so0		so0	ol34				25					ml90												1	2		none												SC	SC	xx																	36	10					so2398			12	20					sk42														1	8	15		1																		12	number of missiles	4	additional missiles per level											4		1								8															ltng	1	6	7	8	9	10	20	8	9	10	11	12	((skill('sk57'.blvl)+skill('sk49'.blvl))+skill('sk53'.blvl))*par8								512	8000
sk49	49	sor	sd49											ml98																																																															so2398	so0			so0	so0	so0		so0		so0	ol34								ml98													1	6		none												SQ	SC	xx	12			1													1						so2398			12	20					sk38								1						1	7	16	1	1																		10	minimum damage	20	max damage	4	increase in dam/level (min & max)									12	damage synergy	1								8															ltng	1	8	12	20	28	36	40	8	12	20	28	36	((skill('sk38'.blvl)+skill('sk53'.blvl))+skill('sk48'.blvl))*par8								512	8000
sk50	50	sor	sd50		18																	st88		ln34+(skill('sk40'.blvl)+skill('sk60'.blvl))*par7		is171	ln12											ev3	3																																						so2397	so0			so2440	so0	so0		so0		so0	ol32	ol43								ml212				10	sparkle delay	5	sparkle radius	3	sparkle height			1			none												SC	SC	xx																							so2397	ol33		12	20					sk45	sk40													1	8	11		1	1																	45	% AC base	6	% AC per level	3000	Duration	300	duration per level					250	duration synergy	9	damage synergy	1								7															cold	12	4	6	8	10	12	16	5	7	9	11	13	(skill('sk40'.blvl)+skill('sk60'.blvl))*par8	100		25	50				512	8000
sk51	51	sor	sd51		124																42883	st145		50+skill('sk362'.ln12)	min(90,par3+stat('is464'.accr)/10)																																																				so2333	so0			so0	so0	so0		so0		so0	ol195								ml68	ml68	ml68			1		75						1			none												SC	SC	xx				1																			so0			18	20					sk46														1	8	25		1																		1500		150		18		3						50	damage synergy	10	damage synergy	1				1	2			8															fire	30	40	50	60	70	76	40	40	50	60	70	80	((skill('sk36'.blvl)+skill('sk47'.blvl))+skill('sk56'.blvl))*par8								896	64000
sk52	52	sor	sd52		25																	st16		ln12		is48	enma	is49	exma	is119	toht																																														so2403	so0			so0	so0	so0		so0		so0																						1	4		none												SC	SC	xx												1	1				1			1			so2403			18	20					sk37	sk47													1	8	25	1	1	1																	3600	duration	600	duration per level	33	missile pct									9	damage synergy	1	20	9						7															fire	16	3	7	11	15	19	20	5	9	13	17	21	skill('sk37'.blvl)*par8								640	16000
sk53	53	sor	sd53		124																42883	st190		50+skill('sk363'.ln12)	min(90,par3+stat('is463'.accr)/10)																																																				so2398	so0			so0	so0	so0		so0		so0	ol34								ml93	ml93				1		25						1			none												SC	SC	xx				1																			so2398	ol33		18	20					sk49														1	8	25		1											# hits							1500	radius of jump to next target	150		18	bolts (5ths)	3	bolts per level (5ths)		5ths					10	damage synergy	1				1	2			8															ltng	30	40	50	60	70	76	40	40	50	60	70	80	((skill('sk57'.blvl)+skill('sk49'.blvl))+skill('sk48'.blvl))*par8								640	16000
sk54	54	sor	sd54		27																																																																								so2441	so0			so0	so0	so0		so0		so0																				1		1			none												SC	SC	xx																	1		1	2			so2441			1	20					sk43			1											1	8	24	-1	1	1																																	1								8																																				640	16000
sk55	55	sor	sd55											ml96										(ln34*(100+skill('sk59'.blvl)*par7))/100	ln12																																																				so2397	so0			so0	so0	so0		so0		so0	ol32								ml96													1	7		none												SC	SC	SC																	1						so2397			18	20					sk45								1						1	7	20	1	1																		4	radius		radius per level	50	freeze frames	3	freeze frames per level					3	freeze synergy	5	damage synergy	1								7															cold	32	14	26	28	30	32	48	15	27	29	31	33	((skill('sk39'.blvl)+skill('sk45'.blvl))+skill('sk64'.blvl))*par8								640	16000
sk56	56	sor	sd56		28												ml101	ml101	ml101						ln12																																																				so2399	so0			so2437	so0	so0		so0		so0	ol30				28					ml101												1	6		none												SC	SC	xx					4				1														so0			30	20					sk47							6							1	8	35		1										ln12	radius							18	radius of explosion		radius per level		Frames of fire		Frames of fire per level					3		5	damage synergy	1								8															fire	80	23	39	79	81	83	100	25	41	81	83	85	(skill('sk36'.blvl)+skill('sk47'.blvl))*par8								896	64000
sk57	57	sor	sd57	13	29												ml166					st38		ln12																																																					so2443	so0			so0	so0	so0		so0	ol1	so0	ol186					84				ml166												1	5		none												SC	SC	xx																							so0			24	20					sk48	sk53													1	8	19		1			1	1														800	duration	200	additional duration/level	25	minimum repeat time	100	repeat time factor		min % repeat time	100	max % repeat time	17	radius	6		1								8															ltng	10	10	10	11	11	11	100	10	10	11	11	11	skill('sk63'.blvl)*par8								768	32000
