name	type	type2	code	alternateGfx	namestr	version	compactsave	rarity	spawnable	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam		rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	levelreq	cost	gamble cost	magic lvl	auto prefix	OpenBetaGfx	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	special	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HraltiMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem
ywn 	wand		ywn	ywn	ywn			1	1	2	8									10	100				15		12		745	17440	1		wnd	ywn	9yw	7yw	1hs	1hs	5	1hss	1	2					flpywn	invywn			1	1		magically charged		so247	12	so247			5	0						7			5					255					255	1	2	1	1	1					255					255	3	5	5	9	1					255					255	2	3	2	3	1					255					255					255					20				1	20					255					255					255			5	8		bwn	gwn	1	
bwn 	wand		bwn	bwn	bwn			1	1	3	7									-20	100				15		18		1296	34828	1		wnd	bwn	9bw	7bw	1hs	1hs	5	1hss	1	2					flpbwn	invbwn	invbwnu	invbwnu	1	2		magically charged		so247	12	so247			5	0						7			5					255					255					255					255					255	1	3	1	3	1					255					255	3	5	5	7	1					255					255					255					20	3	4	2	3	20					255					255	3	4	2	3	20			1	2		xxx	xxx	1	
gwn 	wand		gwn	bwn	gwn			1	1	5	11										100				15		26		2098	70048	1		wnd	gwn	9gw	7gw	1hs	1hs	5	1hss	1	2					flpgwn	invgwn			1	2		magically charged		so247	12	so247			5	0						7			5					255					255					255					255					255										255					255	1	2		1	1					255					255					255					20	1	3	1	2	20					255					255	1	3	1	2	20			1	2		xxx	xxx	1	
clb 	club		clb	clb	clb			1	1	1	6									-10	100				24		1		32	3032			clb	clb	9cl	7cl	1hs	1hs	5	club	1	3					flpclb	invclb	invclbu	invclbu	1	2				so245	12	so245			5	0						7			1					255	1	1	1	1	20					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	2		mac	mst	1	
scp 	scep		scp	mac	scp			2	1	6	11										100		25		50		3		350	5050			mac	scp	9sc	7sc	1hs	1hs	5	club	1	3					flpscp	invscp			1	2		magically charged		so246	12	so246			5	0						7			3					255					255	2	4	2	4	1					255					255	2	3	3	5	1					255					255		1		1	1					255					255					255					20					255					255					255					20			2	2		gsc	wsp	1	
gsc 	scep		gsc	mac	gsc			4	1	8	18								1	10	100		37		60		15		1109	26635			mac	gsc	9qs	7qs	1hs	1hs	5	club	1	3					flpgsc	invgsc			1	3		magically charged		so246	12	so246			5	0						7			3					255					255					255					255					255	1	3	1	3	1					255					255	3	5	3	5	1					255					255					255					20	1	2	1	1	20					255					255	2	3	1	2	20			2	2		xxx	wsp	1	
wsp 	scep		wsp	whm	wsp			4	1	10	17								1	-10	100		55		70		21		2323	61783			mac	wsp	9ws	7ws	1hs	1hs	5	club	2	3					flpwsp	invwsp			1	5		magically charged		so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255	1	3	1	3	1					255					255					255					20	1	2	1	2	20					255					255	1	2	1	1	20			2	2		xxx	xxx	1	
spc 	club		spc	clb	spc			3	1	5	8								1		100				36		4		225	5400			clb	spc	9sp	7sp	1hs	1hs	5	1hsl	1	3					flpspc	invspc	invspcu	invspcu	1	2				so245	12	so245			5	0						7			1		1		1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			2	2		mac	mst	1	
mac 	mace		mac	mac	mac			4	1	3	10										100		27		60		8		463	10204			mac	mac	9ma	7ma	1hs	1hs	5	1hsl	1	3					flpmac	invmac			1	2				so246	12	so246			5	0						7			3		1		1	1	1	1	1	1	20					255		1		1	20					255					255					255					255					255	1	2	1	1	1					255					255					255					255					255					255					255			2	2		mst	mau	1	
mst 	mace		mst	mac	mst			4	1	7	16								1	10	100		36		72		13		844	19972			mac	mst	9mt	7mt	1hs	1hs	5	1hsl	1	3					flpmst	invmst	invmstu	invmstu	1	3				so246	12	so246			5	0						7			3					255					255					255	1	1	1	1	20					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx	fla	1	
fla 	mace		fla	fla	fla			4	1	1	24								2	-10	100		41	35	30		19		1412	38828			mac	fla	9fl	7fl	1hs	1hs	5	1hsl	2	3					flpfla	invfla			1	5				so246	12	so246			5	0						7			3					255					255					255	1	1	1	1	20					255					255	1	1	1	1	20					255					255					255					255					255			1	1	20					255					255					255					255			2	2		xxx	gma	1	
whm 	hamm		whm	whm	whm			4	1	19	29									20	110		53		55		25		2081	67025			mac	whm	9wh	7wh	1hs	1hs	5	1hsl	2	3					flpwhm	invwhm			1	4				so246	12	so246			5	0					178	7			3					255					255					255					255					255					255	1	1		1	20					255					255					255					255					255	1	1	1	1	20					255					255					255					255			2	2		mau	gma	1	
mau 	hamm		mau	mau	mau			4	1				1	30	43				1	10	110		69		60		21		1670	48070			mau	mau	9m9	7m7	stf	stf	5	2hsl	2	4					flpmau	invmau	invmauu	invmauu	1	6				so229	12	so229			5	0						7			3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255	1	1	1	1	20					255					255					255					255			2	2		xxx	mau	1	
gma 	hamm		gma	mau	gma			3	1				1	38	58				2	20	110		99		60		32		3215	121380			mau	gma	9gm	7gm	stf	stf	5	2hsl	2	3					flpgma	invgma	invgma	invgma	1	6				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255	1	1	1	1	20					255			1	1	20					255					255			2	2		xxx	xxx	1	
ssd 	swor		ssd	ssd	ssd			3	1	2	7										100				24		1		72	3072			ssd	ssd	9ss	7ss	1hs	1hs	5	1hsl	1	3					flpssd	invssd			1	2				so246	12	so246			5	0						7			3	1	1		1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			1	2		scm	wsd	1	
scm 	swor		scm	scm	scm			3	1	2	6									-20	100			21	22		5		274	6370			scm	scm	9sm	7sm	1hs	1hs	5	1hsl	1	3					flpscm	invscm	invscmu	invscmu	1	2				so246	12	so246			5	0						7			3	1	1	1	1	1	1	1	1	1	20					255		1		1	20					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			1	2		sbr	lsd	1	
sbr 	swor		sbr	scm	sbr			3	1	3	8									-10	100		25	25	32		8		466	10228			scm	sbr	9sb	7sb	1hs	1hs	5	1hsl	1	3					flpsbr	invsbr	inv9sbu	inv9sbu	1	2				so246	12	so246			5	0						7			3	1	1	1	1	1					255					255		1		1	20					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255			1	2		flc	bsd	1	
flc 	swor		flc	flc	flc			4	1	9	17									20	100		33		32		11		683	15513			scm	flc	9fc	7fc	1hs	1hs	5	1hsl	1	3					flpflc	invflc	invflcu	invflcu	1	2				so246	12	so246			5	0						7			3					255					255					255	1	1		1	20					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			1	2		bsd	wsd	1	
crs 	swor		crs	crs	crs			2	1	5	15								1		100		43		20		11		2127	31397			ssd	crs	9cr	7cr	1hs	1hs	5	1hsl	2	3					flpcrs	invcrs	invcrsu	invcrsu	1	6				so246	12	so246			5	0	5					7			1					255					255					255					255					255				1	1					255					255				1	1					255					255					255					255			1	1	20			1	1	20					255					255			1	8		xxx	xxx	1	
bsd 	swor		bsd	bsd	bsd			4	1	7	14										100		48		32		15		1029	25435			ssd	bsd	9bs	7bs	1hs	1hs	5	1hsl	2	3					flpbsd	invbsd	invbsdu	invbsdu	1	4				so246	12	so246			5	0						7			3					255					255					255	1	1	1	2	20					255					255			1	1	20					255					255					255	1	1	1	1	1	1	1	1	1	1					255					255					255					255					255			1	2		lsd	wsd	1	
lsd 	swor		lsd	lsd	lsd			4	1	3	19								1	-10	100		55	39	44		20		1520	42900			ssd	lsd	9ls	7ls	1hs	1hs	5	1hsl	2	3					flplsd	invlsd	invlsdu	invlsdu	1	4				so246	12	so246			5	0						7			3					255					255					255			1	2	20					255					255	1	1	1	2	20					255					255					255					255					255	1	1	1	2	20					255					255					255					255			1	2		wsd	wsd	1	
wsd 	swor		wsd	flc	wsd			4	1	8	20								1		100		71	45	44		27		1997	69919			ssd	wsd	9wd	7wd	1hs	1hs	5	1hsl	1	3					flpwsd	invwsd			1	3				so246	12	so246			5	0						7			3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255	1	2	1	3	20					255	1	1	1	3	20					255			1	2	20			1	2		xxx	xxx	1	
2hs 	swor		2hs	clm	2hs			4	1	2	9	1	1	8	17				2		100		35	27	44		10		644	13940			clm	2hs	92h	72h	1hs	2hs	5	2hss	1	4					flp2hs	inv2hs	inv2hsu	inv2hsu	1	3				so229	12	so229			5	0						7			3	1	1	1	1	1					255					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			1	2		clm	gis	1	
clm 	swor		clm	clm	clm			4	1	5	12	1	1	13	30				2	10	100		47		50		17		1262	32454			clm	clm	9cm	7cm	1hs	2hs	5	2hss	1	4					flpclm	invclm			1	4				so229	12	so229			5	0						7			3					255					255					255	1	1	1	2	20					255					255					255					255					255					255	1	1	1	1	1	1	1	1	1	1					255					255					255					255					255			1	2		gis	bsw	1	
gis 	swor		gis	gsd	gis			4	1	3	16	1	1	9	28				2		100		56	34	50		21		1459	43639			clm	gis	9gs	7gs	1hs	2hs	5	2hss	1	4					flpgis	invgis	invgisu	invgisu	1	4				so229	12	so229			5	0						7			3					255					255					255		1	1	2	20					255					255	1	1	1	1	20					255					255					255					255					255					255					255					255					255					255			1	2		bsw	flb	1	
bsw 	swor		bsw	clm	bsw			4	1	7	19	1	1	20	28				1	10	100		62		40		24		1971	61804			clm	bsw	9b9	7b7	1hs	2hs	5	2hss	1	4					flpbsw	invbsw	invbswu	invbswu	1	4				so229	12	so229			5	0						7			3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255		1	1	1	20					255		1	1	1	20					255					255			1	2		xxx	xxx	1	
flb 	swor		flb	clm	flb			4	1	9	15	1	1	13	26				2	-10	100		70	49	50		27		2400	80800			clm	flb	9fb	7fb	1hs	2hs	5	2hss	2	4					flpflb	invflb			1	5				so229	12	so229			5	0						7			3					255					255					255					255					255					255		1	1	1	20					255					255					255					255					255	1	1	1	2	20					255		1	1	2	20					255					255			1	2		xxx	xxx	1	
gsd 	swor		gsd	gsd	gsd			4	1	12	20	1	1	25	42				2	10	100		100	60	50		33		3451	132883			clm	gsd	9gd	7gd	1hs	2hs	5	2hss	2	4					flpgsd	invgsd	invgsdu	invgsdu	1	6				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255	1	1	1	3	20					255		1	1	2	20					255					255			1	2		xxx	xxx	1	
dgr 	knif		dgr	dgr	dgr			2	1	1	4									-20	75	75			16		3		60	4180			dgr	dgr	9dg	7dg	1ht	1ht	5	1ht	1	2					flpdgr	invdgr			1	1				so244	12	so244			5	0						7			3	1	1	1	1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			1	2		kri	bld	1	
dir 	knif		dir	dir	dir			2	1	3	9										75	75		25	20		9		532	11788			dgr	dir	9di	7di	1ht	1ht	5	1ht	1	2					flpdir	invdir			1	1				so244	12	so244			5	0						7			3		1		1	1					255					255	1	1	1	1	20					255					255					255					255					255	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1					255					255					255					255					255			1	2		kri	bld	1	
kri 	knif		kri	dir	kri			2	1	2	11									-20	75	75		45	24		17		1227	31859			dgr	kri	9kr	7kr	1ht	1ht	5	1ht	1	3					flpkrs	invkrs	invkrsu	invkrsu	1	3				so244	12	so244			5	0						7			3					255					255					255	1	1	1	1	20					255					255	1	1		1	20					255					255					255					255					255			1	2	20			1	1	20					255					255			1	1	20			1	2		xxx	xxx	1	
bld 	knif		bld	dgr	bld			3	1	4	15									-10	75	75	35	51	24		23		1764	54572			dgr	bld	9bl	7bl	1ht	1ht	5	1ht	1	3					flpbld	invbld			1	2				so244	12	so244			5	0						7			3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255			1	2	20	1	1	1	1	20					255					255	1	1	1	1	20			1	2		xxx	xxx	1	
tkf 	tkni		tkf	dgr	tkf			2	1	2	3					4	9				75	75		21	4		2		6	3512			dgr	tkf	9tk	7tk	1ht	1ht	5	1ht	1	2	1	40	160	75	flptkn	invtkn						primarily thrown		so244	12	so244			5	0					36	7	4		3	1	2			255	1	2			20					255					255					255					255					20					255					255	2	2			1					255					255					255					255					255					255			1	1	20			1	2		bkf	bkf	1	
tax 	taxe		tax	hax	tax			2	1	4	7					8	12			10	75	75		40	6		7		11	6077			hax	tax	9ta	7ta	1hs	1hs	5	1hsl	1	2	1	16	130	32	flptax	invtax						primarily thrown		so244	12	so244			5	0					35	7	5		3	1	1			255	1	2			20					255	1	1			20					255					255					20					255					255	2	2			1					255					255					255					255					255					255			1	1	20			2	2		bal	bal	1	
bkf 	tkni		bkf	dgr	bkf			2	1	1	8					6	11			-20	75	75		51	8		13		15	9195			dgr	bkf	9bk	7bk	1ht	1ht	5	1ht	1	2	1	30	160	60	flpbkf	invbkf						primarily thrown		so244	12	so244			5	0					36	7	4		3					255					255					255	1	1	1	1	20					255					255					20					255					255					255	1	2			1	2	3			1	1	2	1	2	20					255					255					255			1	1	20			1	2		xxx	xxx	1	
bal 	taxe		bal	hax	bal			2	1	5	10					12	15			-10	75	75		57	10		16		35	11060			hax	bal	9b8	7b8	1hs	1hs	5	1hsl	2	3	1	16	130	24	flpbal	invbal						primarily thrown		so246	12	so246			5	0					35	7	5		3					255					255					255	1	1	1	1	20					255					255					20					255					255					255	1	2			1	2	3			1	1	2	1	2	20					255					255					255	1	1	1	1	20			2	2		xxx	xxx	1	
jav 	jave		jav	jav	jav			4	1	1	5					6	14	15	2	-10	75	75			2		1		5	3005			jav	jav	9ja	7ja	1ht	1ht	5	1ht	1	3	1	30	60	60	flpjav	invjav				3		primarily thrown		so225	12	so225			5	0					1	7	2		3	2	3			255	1	2			20					255					255					255					255					20					255					255	1	2			1	1	1			255					255					255	1	1			255					255			1	1	20	1	1	1	1	20			5	8		glv	glv	1	
pil 	jave		pil	pil	pil			4	1	4	9					7	20	15	2		75	75		45	3		10		18	7680			jav	pil	9pi	7pi	1ht	1ht	5	1ht	1	3	1	25	50	50	flppil	invpil				3		primarily thrown		so225	12	so225			5	0					371	7	2		3					255	1	1			20					255	1	1			20					255					255					20					255					255	1	2			1	1	1			255	1	1			255	1	1	1	2	20	1	1			255					255			1	1	20	1	1	1	1	20			5	8		tsp	tsp	1	
ssp 	jave		ssp	jav	ssp			4	1	2	13					10	22	15	2	10	75	75	40	40	4		15		24	10360			jav	ssp	9s9	7s7	1ht	1ht	5	1ht	1	3	1	20	40	40	flpssp	invssp				3		primarily thrown		so225	12	so225			5	0					1	7	2		3					255			1	2	30					255	1	1	1	1	20					255					255					20					255					255					255	1	1			255	1	2			255					255	1	1			255					255			1	1	20	1	1	1	1	20			5	8		tsp	tsp	1	
glv 	jave		glv	glv	glv			4	1	5	17					16	22	15	2	20	75	75	52	35	5		23		36	14828			jav	glv	9gl	7gl	1ht	1ht	5	1ht	1	4	1	15	40	40	flpglv	invglv				3		primarily thrown		so225	12	so225			5	0					37	7	2		3					255					255					255			2	2	30					255					255					20					255					255					255	1	1			255	1	2			255					255	1	1			255					255			1	1	20	1	1	1	1	20			1	2		xxx	xxx	1	
tsp 	jave		tsp	pil	tsp			4	1	5	15					12	30	15	2	-10	75	75		65	6		29		48	18392			jav	tsp	9ts	7ts	1ht	1ht	5	1ht	1	4	1	32	80	80	flptsp	invtsp				3		primarily thrown		so225	12	so225			5	0					371	7	2		3					255					255					255					255					255					255					20					255					255					255					255					255	1	1	1	2	20	1	1			255					255			1	1	20	1	1	1	1	20			1	2		xxx	xxx	1	
spr 	spea		spr	spr	spr			4	1				1	3	15			15	3	-10	100			20	30		5		300	6500			spr	spr	9sr	7sr	2ht	2ht	5	2ht	2	4					flpspr	invspr			1	3		2 square reach		so245	12	so245			5	0						7			3	1	1	1	1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			5	8		spt	pik	1	
tri 	spea		tri	tri	tri			4	1				1	9	15			15	3		100		38	24	35		9		683	13147			spr	tri	9tr	7tr	2ht	2ht	5	2ht	2	4					flptri	invtri	invtriu	invtriu	1	4		2 square reach		so245	12	so245			5	0						7			3					255	1	1	1	1	20					255	1	1			20					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255			5	8		spt	pik	1	
brn 	spea		brn	brn	brn			4	1				1	7	17			15	4	-20	100		40	50	28		16		1162	29092			spr	brn	9br	7br	2ht	2ht	5	2ht	2	4					flpbrn	invbrn			1	5		2 square reach		so245	12	so245			5	0						7			3					255					255					255	1	1	1	1	20					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					255					255					255					255			5	8		xxx	pik	1	
spt 	spea		spt	tri	spt			4	1				1	15	23			15	4		100		54	35	28		20		1672	45940			spr	spt	9st	7st	2ht	2ht	5	2ht	2	4					flpspt	invspt			1	6		2 square reach		so245	12	so245			5	0						7			3					255					255					255	1	1	1	1	20					255					255					255					255					255					255	1	1	1	1	1	1	1	1	1	1		1	1	2	20					255					255					255					255			5	8		xxx	xxx	1	
pik 	spea		pik	pik	pik			4	1				1	14	63			15	4	20	100		60	45	25		24		2023	63052			spr	pik	9p9	7p7	2ht	2ht	5	2ht	2	4					flppik	invpik			1	6		3 square reach		so245	12	so245			5	0						7			3					255					255					255			1	1	30					255					255					255					255					255					255		1			255		1			255	1	1	1	2	20					255	1	1	1	2	20					255					255			5	8		xxx	xxx	1	
bar 	pole		bar	hal	bar			4	1				1	1	27				2	10	100		40		50		5		302	6510			hal	bar	9b7	7o7	stf	stf	5	2hsl	2	4					flpbar	invbar			1	3		2 square reach		so250	12	so250			5	0						7			3	1	1	1	1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			2	2		hal	wsc	1	
vou 	pole		vou	hal	vou			4	1				1	6	21				2		100		50		50		11		611	14721			hal	vou	9vo	7vo	stf	stf	5	2hsl	2	4					flpvou	invvou			1	4		2 square reach		so250	12	so250			5	0						7			3					255					255					255		1		1	20					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		hal	wsc	1	
scy 	pole		scy	scy	scy			4	1				1	8	20				1	-10	100		41	41	65		15		848	22720			hal	scy	9s8	7s8	stf	stf	5	2hsl	2	4					flpscy	invscy	invscyu	invscyu	1	5		2 square reach		so250	12	so250			5	0						7			3					255					255					255		1		1	20					255				1	255			1	1	20					255				1	1					255	1	1	1	1	1	1	1	1	1	1					255					255					255					255					255			2	2		hal	wsc	1	
pax 	pole		pax	hal	pax			4	1				1	18	39				3	10	100		62		65		21		1701	48721			hal	pax	9pa	7pa	stf	stf	5	2hsl	2	4					flppax	invpax			1	5		2 square reach		so250	12	so250			5	0						7			3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255		1	1	1	20					255					255					255					255			2	2		xxx	xxx	1	
hal 	pole		hal	pax	hal			4	1				1	12	45				4		100		75	47	55		29		2706	95474			hal	hal	9h9	7h7	stf	stf	5	2hsl	2	4					flphal	invhal			1	6		2 square reach		so250	12	so250			5	0						7			3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255	1	1	1	1	20					255	1	1	1	1	20					255					255			2	2		xxx	xxx	1	
wsc 	pole		wsc	scy	wsc			3	1				1	15	36				4	-10	100		80	80	55		34		3388	134692			hal	wsc	9wc	7wc	stf	stf	5	2hsl	2	4					flpwsc	invwsc			1	6		2 square reach		so250	12	so250			5	0						7			3					255					255					255					255					255					255					20					255					255					255					255					255			1	2	20					255			1	1	20					255					255			2	2		xxx	xxx	1	
