name	*name	szFlavorText	compactsave	version	level	levelreq	rarity	spawnable	speed	nodurability	cost	gamble cost	auto prefix	code	alternategfx	namestr	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	special	Transmogrify	TMogType	TMogMin	TMogMax	useable	throwable	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	lightradius	belt	autobelt	stackable	minstack	maxstack	spawnstack	quest	questdiffcheck	missiletype	spellicon	pSpell	state	cstate1	cstate2	len	stat1	calc1	stat2	calc2	stat3	calc3	spelldesc	spelldescstr	spelldesccalc	durwarning	qntwarning	gemoffset	BetterGem	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HraltiMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	PermStoreItem	multibuy	Nameable	*eol
mi10	Town Portal Book						2	1		1	250			tbk	bbk	tbk	16	1	2				flpbbk	invbbk				xxx			1	0	book		so207	12	so207			5				1	1	100	5				-1	2																	non						255					255		2			255					255					255	2	4	2	4	255					255					255	2	4	2	4	255					255					255					255					255	1	2			255					255					255	1	2			255						xxx	xxx			1			0
mi11	Identify Book						2	1		1	200			ibk	rbk	ibk	16	1	2				flprbk	invrbk				xxx			1	0	book		so207	12	so207			5				1	1	100	5				-1	1																	non						255					255		2			255					255					255	2	4	2	4	255					255					255	2	4	2	4	255					255					255					255					255	1	2			255					255					255	1	2			255						xxx	xxx			1			0
mi12	amulet				1		4	1		1	2400	63000		amu	amu	amu	16	1	1	1	1	1	flpamu	invamu				xxx				0	amul		so205	12	so205			5											-1																		non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi13	viper amulet				15		4			1	400			vip	vip	vip	16	1	1				flpamu	invvip	invvip			xxx				0	amul		so205	12	so205			5								10	1		-1																		non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					1	xxx	xxx						0
mi14	ring				1		4	1		1	1800	50000		rin	rin	rin	16	1	1	1	1	1	flprin	invrin				xxx				0	ring		so241	12	so241			5											-1																		non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi15	gold		1				1	1		1				gld	gld	gld	16	1	1				flpgld	invgld				xxx				0	gold		so221	12	so221			5				1		5000					-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi16	Bark Scroll		1							1	100			bks	bks	bks	16	2	2				flpscr	invscb				xxx				0	ques		so243	10	so243	1		5								5	1		-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi17	deciphered Bark Scroll		1							1	12000			bkd	bkd	bkd	16	2	2				flpscr	invscb				xxx				0	ques		so243	10	so243	1		5								5	1		-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi18	Arrows						1	1		1	256			aqv	aqv	aqv	16	1	3				flpqvr	invqvr				xxx				0	bowq		so239	12	so239			5				1	100	350	200				-1																1		non		3	5			255	1	3			255					255	3	4	3	4	255					255					255	3	4	3	4	255					255					255	2	3			255	2	3			255					255	3	4			255					255	3	4			255	3	4			255					255						xxx	xxx			1			0
mi19	Torch		1							1	50			tch	bsh	tch	7	1	2				flptrch	invtrch				xxx				0	torc		so245	12	so245		1	3	6				2	10					-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi20	Bolts						1	1		1	256			cqv	cqv	cqv	16	1	3				flpqvr	invcqv				xxx				0	xboq		so239	12	so239			5				1	60	250	150				-1																1		non		2	4			255	2	4			255					255	3	4	3	4	255					255					255	3	4	3	4	255					255					255	2	3			255	2	3			255					255	3	4			255					255	3	4			255	3	4			255					255						xxx	xxx			1			0
mi21	Town Portal Scroll		1				2	1		1	100			tsc	bsc	tsc	16	1	1				flpbsc	invbsc				xxx			1	0	scro		so243	10	so243			5		1									-1	2																	non						255					255	11	17			255					255					255	11	17	11	17	255					255					255	11	17	11	17	255					255					255					255					255	5	7			255					255					255	5	7			255						xxx	xxx			1	1		0
mi22	Identify Scroll		1				2	1		1	80			isc	rsc	isc	16	1	1				flprsc	invrsc				xxx			1	0	scro		so243	10	so243			5		1									-1	1																	non						255					255	11	17			255					255					255	11	17	11	17	255					255					255	11	17	11	17	255					255					255					255					255	5	7			255					255					255	5	7			255						xxx	xxx			1	1		0
mi23	Heart						1			1	60			hrt	hrt	hrt	16	1	1				flphrt	invhrt			1	hpo				0	body		so233	14	so233			5											-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi24	Brain						1			1	60			brz	brz	brz	16	1	1				flpbrnz	invbrnz			1	opm	1	1		0	body		so233	14	so233			5											-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi25	Jawbone						1			1	75			jaw	jaw	jaw	16	1	1				flpjaw	invjaw			1	cqv	10	40		0	body		so232	12	so232			5											-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi26	Eye						1			1	45			eyz	eyz	eyz	16	1	1				flpeye	inveye			1	mpo				0	body		so233	14	so233			5											-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi27	Horn						1			1	48			hrn	hrn	hrn	16	1	1				flphorn	invhorn			1	aqv	10	40		0	body		so232	12	so232			5											-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi28	Tail						1			1	63			tal	tal	tal	16	1	1				flptail	invtail			1	vps				0	body		so233	14	so233			5											-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi29	Flag						1			1	98			flg	flg	flg	16	1	1				flpflag	invflag				xxx				0	body		so230	12	so230			5											-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi30	Fang						1			1	80			fng	fng	fng	16	1	1				flpfang	invfang			1	key	1	1		0	body		so232	12	so232			5											-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi31	Quill						1			1	32			qll	qll	qll	16	1	1				flpquil	invquil			1	aqv	10	40		0	body		so232	12	so232			5											-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi32	Soul						1			1	100			sol	sol	sol	16	1	1				flpsple	invsple			1	mpo				0	body		so240	12	so0			5											-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi33	Scalp						1			1	40			scz	scz	scz	16	1	1				flpscp	invscp			1	hpf				0	body		so233	14	so233			5											-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi34	Spleen						1			1	85			spe	spe	spe	16	1	1				flpsple	invsple			1	gps	1	1		0	body		so233	14	so233			5											-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi35	Skeleton Key						1	1		1	45			key	key	key	16	1	1				flpkey	invkey				xxx				0	key		so227	12	so227			5				1	1	100	6				-1																		non						255	5	9	5	9	255	1	2	1	2	255					255	6	9	6	9	255					255	2	3	2	3	255					255					255					255					255					255					255	1	1			255					255					255	1	2	1	2	255						xxx	xxx			1	1		0
mi36	Mephisto Key						1			1	99999			luv	key	luv	16	1	2				flpmph	invmph				xxx				0	key		so227	12	so227			5											-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi37	scroll of self resurrect						999			1	10000			xyz	scr	xyz	16	1	1				flpwps	invxyz				xxx			1	0	ques		so237	14	so238			5								19	1		-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi38	jade figurine		1							1	100			j34	bks	j34	16	1	2				flpjbi	invjbi				xxx				0	ques		so240	12	so0	1		3								19	1		-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi39	gold bird		1							1	100			g34	bks	g34	16	1	2				flpgbi	invgbi				xxx				0	ques		so240	12	so0	1		4								19	1		-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi40	lam esen's tome		1							1	100			bbb	bbb	bbb	16	2	2				flpbbb	invbbb				xxx				0	ques		so207	12	so207	1		5								16	1		-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi41	Horadric Cube									1				box	rbk	box	16	2	2				flpbox	invbox				xxx			1	0	ques		so240	12	so0			5								10			-1	7																	non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi42	Scroll of Horadric Quest Info		1				999			1				tr1	grg	tr1	16	2	2				flphscr	invhscr				xxx				0	ques		so207	12	so207	1		5								10	1		-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi43	Mephisto SoulStone		1				999			1				mss	scr	mss	16	1	1				flpmss	invmss				xxx				0	ques		so217	12	so217	1		5								23	1		-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi44	Book of Skill		1				999			1				ass	tbk	ass	16	2	2				flpbbk	invsbk				xxx			1	0	ques		so207	12	so207	1		5								15	1		-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi45	KhalimEye		1				1			1	45			qey	eyz	qey	16	1	1				flpeye	inveye				xxx	240	240		0	ques		so233	14	so233			5								17	1		-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi46	KhalimHeart		1				1			1	60			qhr	hrt	qhr	16	1	1				flphrt	invhrt				xxx	240	240		0	ques		so233	14	so233			5								17	1		-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi47	KhalimBrain		1				1			1	60			qbr	brz	qbr	16	1	1				flpbrnz	invbrnz				xxx	240	240		0	ques		so233	14	so233			5								17	1		-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi48	Player Ear		1				1			1				ear	ear	ear	16	1	1				flpear	invear				xxx				0	play		so233	14	so233			5											-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi49	Chipped Amethyst		1			1	2	1		1	500			gcv	gcv	gcv	16	1	1				flpgsv	invgsva				xxx				0	gema	gem0	so217	12	so217			5											-1																		gfv						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi50	Flawed Amethyst		1			5	3	1		1	1500			gfv	gfv	gfv	16	1	1				flpgsv	invgsvb				xxx				0	gema	gem1	so217	12	so217			5											-1																		gsv						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi51	Amethyst		1			12	4	1		1	5000			gsv	gsv	gsv	16	1	1				flpgsv	invgsvc				xxx				0	gema	gem2	so217	12	so217			5											-1																		gzv						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi52	Flawless Amethyst		1			15	5	1		1	15000			gzv	gzv	gzv	16	1	1				flpgsv	invgsvd				xxx				0	gema	gem3	so217	12	so217			5											-1																		gpv						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi53	Perfect Amethyst		1			18	6	1		1	30000			gpv	gpv	gpv	16	1	1				flpgsv	invgsve				xxx				0	gema	gem4	so217	12	so217			5											-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi54	Chipped Topaz		1			1	3	1		1	500			gcy	gcy	gcy	16	1	1				flpgsy	invgsya				xxx				0	gemt	gem0	so217	12	so217			5											-1																		gfy						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi55	Flawed Topaz		1			5	4	1		1	1500			gfy	gfy	gfy	16	1	1				flpgsy	invgsyb				xxx				0	gemt	gem1	so217	12	so217			5											-1																		gsy						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi56	Topaz		1			12	5	1		1	5000			gsy	gsy	gsy	16	1	1				flpgsy	invgsyc				xxx				0	gemt	gem2	so217	12	so217			5											-1																		gly						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi57	Flawless Topaz		1			15	6	1		1	15000			gly	gly	gly	16	1	1				flpgsy	invgsyd				xxx				0	gemt	gem3	so217	12	so217			5											-1																		gpy						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi58	Perfect Topaz		1			18	7	1		1	30000			gpy	gpy	gpy	16	1	1				flpgsy	invgsye				xxx				0	gemt	gem4	so217	12	so217			5											-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi59	Chipped Saphire		1			1	4	1		1	500			gcb	gcb	gcb	16	1	1				flpgsb	invgsba				xxx				0	gems	gem0	so217	12	so217			5											-1																		gfb						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi60	Flawed Saphire		1			5	5	1		1	1500			gfb	gfb	gfb	16	1	1				flpgsb	invgsbb				xxx				0	gems	gem1	so217	12	so217			5											-1																		gsb						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi61	Saphire		1			12	6	1		1	5000			gsb	gsb	gsb	16	1	1				flpgsb	invgsbc				xxx				0	gems	gem2	so217	12	so217			5											-1																		glb						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi62	Flawless Saphire		1			15	7	1		1	15000			glb	glb	glb	16	1	1				flpgsb	invgsbd				xxx				0	gems	gem3	so217	12	so217			5											-1																		gpb						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi63	Perfect Saphire		1			18	8	1		1	30000			gpb	gpb	gpb	16	1	1				flpgsb	invgsbe				xxx				0	gems	gem4	so217	12	so217			5											-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi64	Chipped Emerald		1			1	5	1		1	500			gcg	gcg	gcg	16	1	1				flpgsg	invgsga				xxx				0	geme	gem0	so217	12	so217			5											-1																		gfg						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi65	Flawed Emerald		1			5	6	1		1	1500			gfg	gfg	gfg	16	1	1				flpgsg	invgsgb				xxx				0	geme	gem1	so217	12	so217			5											-1																		gsg						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi66	Emerald		1			12	7	1		1	5000			gsg	gsg	gsg	16	1	1				flpgsg	invgsgc				xxx				0	geme	gem2	so217	12	so217			5											-1																		glg						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi67	Flawless Emerald		1			15	8	1		1	15000			glg	glg	glg	16	1	1				flpgsg	invgsgd				xxx				0	geme	gem3	so217	12	so217			5											-1																		gpg						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255		 				xxx	xxx						0
mi68	Perfect Emerald		1			18	9	1		1	30000			gpg	gpg	gpg	16	1	1				flpgsg	invgsge				xxx				0	geme	gem4	so217	12	so217			5											-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi69	Chipped Ruby		1			1	6	1		1	500			gcr	gcr	gcr	16	1	1				flpgsr	invgsra				xxx				0	gemr	gem0	so217	12	so217			5											-1																		gfr						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi70	Flawed Ruby		1			5	7	1		1	1500			gfr	gfr	gfr	16	1	1				flpgsr	invgsrb				xxx				0	gemr	gem1	so217	12	so217			5											-1																		gsr						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi71	Ruby		1			12	8	1		1	5000			gsr	gsr	gsr	16	1	1				flpgsr	invgsrc				xxx				0	gemr	gem2	so217	12	so217			5											-1																		glr						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi72	Flawless Ruby		1			15	9	1		1	15000			glr	glr	glr	16	1	1				flpgsr	invgsrd				xxx				0	gemr	gem3	so217	12	so217			5											-1																		gpr						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi73	Perfect Ruby		1			18	10	1		1	30000			gpr	gpr	gpr	16	1	1				flpgsr	invgsre				xxx				0	gemr	gem4	so217	12	so217			5											-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi74	Chipped Diamond		1			1	7	1		1	500			gcw	gcw	gcw	16	1	1				flpgsw	invgswa				xxx				0	gemd	gem0	so217	12	so217			5											-1																		gfw						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi75	Flawed Diamond		1			5	8	1		1	1500			gfw	gfw	gfw	16	1	1				flpgsw	invgswb				xxx				0	gemd	gem1	so217	12	so217			5											-1																		gsw						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi76	Diamond		1			12	9	1		1	5000			gsw	gsw	gsw	16	1	1				flpgsw	invgswc				xxx				0	gemd	gem2	so217	12	so217			5											-1																		glw						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi77	Flawless Diamond		1			15	10	1		1	15000			glw	glw	glw	16	1	1				flpgsw	invgswd				xxx				0	gemd	gem3	so217	12	so217			5											-1																		gpw						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi78	Perfect Diamond		1			18	11	1		1	30000			gpw	gpw	gpw	16	1	1				flpgsw	invgswe				xxx				0	gemd	gem4	so217	12	so217			5											-1																		non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx						0
mi79	Lesser Healing Potion		1				1	1		1	30			hp1	hp1	hp1	16	1	1				flprps	invhp1				xxx			1	0	hpot		so237	14	so238			5		1	1								-1	3	st100			192	is74	30					2	ItemStats1q	30				non						255					255	1	1			255					255	1	1			255	1	1			255					255					255	1	1			255					255					255					255					255	1	1			255					255					255	1	1			255						hp4	hp5			1	1		0
mi80	Light Healing Potion		1				1	1		1	75			hp2	hp2	hp2	16	1	1				flprps	invhp2				xxx			1	0	hpot		so237	14	so238			5		1	1								-1	3	st100			160	is74	60					2	ItemStats1q	60				non						255					255					255					255	1	1			255	1	1			255					255					255	1	1			255					255					255					255					255	1	1			255					255					255	1	1			255						hp4	hp5			1	1		0
mi81	Healing Potion		1				1	1		1	125			hp3	hp3	hp3	16	1	1				flprps	invhp3				xxx			1	0	hpot		so237	14	so238			5		1	1								-1	3	st100			171	is74	100					2	ItemStats1q	100				non						255					255					255					255					255					255					255					255	1	1			255					255					255					255					255	1	1			255					255					255	1	1			255						hp4	hp5			1	1		0
mi82	Strong Healing Potion		1				1	1		1	250			hp4	hp4	hp4	16	1	1				flprpl	invhp4				xxx			1	0	hpot		so237	14	so238			5		1	1								-1	3	st100			192	is74	180					2	ItemStats1q	180				non						255					255					255					255					255					255					255					255					255					255					255					255					255	1	1			255					255					255	1	1			255						xxx	hp5			1	1		0
mi83	Greater Healing Potion		1				1	1		1	500			hp5	hp5	hp5	16	1	1				flprpl	invhp5				xxx			1	0	hpot		so237	14	so238			5		1	1								-1	3	st100			256	is74	320					2	ItemStats1q	320				non						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx			1	1		0
mi84	Lesser Mana Potion		1				1	1		1	60			mp1	mp1	mp1	16	1	1				flpbps	invmp1				xxx			1	0	mpot		so237	14	so238			5		1	1								-1	3	st106			128	is26	20					2	ItemStats1q	20				non						255					255	1	1			255					255	1	1			255	1	1			255					255					255	1	1			255					255					255					255					255	1	1			255					255					255	1	1			255						mp4	mp5			1	1		0
mi85	Light Mana Potion		1				1	1		1	150			mp2	mp2	mp2	16	1	1				flpbps	invmp2				xxx			1	0	mpot		so237	14	so238			5		1	1								-1	3	st106			128	is26	40					2	ItemStats1q	40				non						255					255					255					255	1	1			255	1	1			255					255					255	1	1			255					255					255					255					255	1	1			255					255					255	1	1			255						mp4	mp5			1	1		0
mi86	Mana Potion		1				1	1		1	300			mp3	mp3	mp3	16	1	1				flpbps	invmp3				xxx			1	0	mpot		so237	14	so238			5		1	1								-1	3	st106			128	is26	80					2	ItemStats1q	80				non						255					255					255					255					255					255					255					255	1	1			255					255					255					255					255	1	1			255					255					255	1	1			255						mp4	mp5			1	1		0
