Stat	ID	Send Other	Signed	Send Bits	Send Param Bits	UpdateAnimRate	Saved	CSvSigned	CSvBits	CSvParam	fCallback	fMin	MinAccr	Encode	Add	Multiply	Divide	ValShift	1.09-Save Bits	1.09-Save Add	Save Bits	Save Add	Save Param Bits	keepzero	op	op param	op base	op stat1	op stat2	op stat3	direct	maxstat	itemspecific	damagerelated	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	*eol
is123	123		1	32											15	7	1024		10	128	10	128												1					110	1	1	ModStr4j	ModStr4j									0
is124	124		1	32											11	7	1024		10	128	10	128												1					106	1	1	ModStr4k	ModStr4k									0
is125	125		1	32											82	1024	1024		1		1																		5	3		ModStr5a	ModStr5a									0
is126	126		1	32	3						1				76	1024	1024		4		3		3																157	1	1	ModStr3i	ModStr3i									0
is127	127		1	32							1				15123	4096	1024		3		8																		158	1	1	ModStr3k	ModStr3k									0
is128	128		1	32							1				4	102	1024		5		5														ev1	10			14	3	2	ModStr3j	ModStr3j									0
is129	129		1	32													1024																																			0
is130	130		1	32													1024																																			0
is131	131			32													1024																																			0
is132	132		1	32													1024																																			0
is133	133		1	32													1024																																			0
is134	134		1	32							1				666	12	1024		5		5													1	ev5	14	ev6	14	78	12	2	ModStr3l	ModStr3l									0
is135	135		1	32							1				23	10	1024		7		7													1	ev5	15	ev6	15	84	2	1	ModStr3m	ModStr3m									0
is136	136		1	32							1				98	40	1024		7		7													1	ev5	16	ev6	16	85	2	1	ModStr5c	ModStr5c									0
is137	137		1	32											77	51	1024		7		7																		121	1	1	ModStr5e	ModStr5e									0
is138	138		1	32							1				17	102	1024		7		7														ev9	17			16	1	1	ModStr5f	ModStr5f									0
is139	139		1	32							1				18	102	1024		7		7														ev9	18			15	1	1	ModStr6c	ModStr6c									0
is140	140		1	32											15	10	1024		7		7													1																		0
is141	141		1	32											31	25	1024		7		7													1					86	2	1	ModStr5q	ModStr5q									0
is142	142		1	32											5486	102	1024		7		7																		23	2	2	ModStr5g	ModStr5g		3	2	2	ModStrabsallpercent	ModStrabsallpercent			0
is143	143		1	32											1739	204	1024		7		7																		30	1	1	ModStr5h	ModStr5h		4	1	1	ModStrabsall	ModStrabsall			0
is144	144		1	32											5486	102	1024		7		7																		24	2	2	ModStr5i	ModStr5i		3	2	2	ModStrabsallpercent	ModStrabsallpercent			0
is145	145		1	32											1739	204	1024		7		7																		30	1	1	ModStr5j	ModStr5j		4	1	1	ModStrabsall	ModStrabsall			0
is146	146		1	32											5486	102	1024		7		7																		26	2	2	ModStr5k	ModStr5k		3	2	2	ModStrabsallpercent	ModStrabsallpercent			0
is147	147		1	32											1739	204	1024		7		7																		33	1	1	ModStr5l	ModStr5l		4	1	1	ModStrabsall	ModStrabsall			0
is148	148		1	32											5486	102	1024		7		7																		25	2	2	ModStr5m	ModStr5m		3	2	2	ModStrabsallpercent	ModStrabsallpercent			0
is149	149		1	32											1739	204	1024		7		7																		31	1	1	ModStr5n	ModStr5n		4	1	1	ModStrabsall	ModStrabsall			0
is150	150		1	32							1				101	40	1024		7		7													1	ev5	19	ev6	19	77	2	2	ModStr5r	ModStr5r									0
is151	151		1	32							1						1024		7		8		9																159	16		ModitemAura	ModitemAura									0
is152	152		1	32													1024		7		1																		160	3		ModStre9s	ModStre9s									0
is153	153		1	32											15011	2048	1024		1		1																		20	3		ModStr5z	ModStr5z									0
is154	154		1	32											102	20	1024		7	20	7	20												1					49	2	1	ModStr6e	ModStr6e									0
is155	155			32	10						1						1024		7		7		10											1	ev9	31			17	23	1	Moditemreanimas	Moditemreanimas									0
is156	156		1	32											1924	2048	1024		7		7													1					132	3		ModStr6g	ModStr6g									0
is157	157		1	32											511	1024	1024		7		7																		131	3		ModStr6h	ModStr6h									0
is158	158		1	32											492	1536	1024		7		7																		133	3		ModStr6i	ModStr6i									0
is159	159		1	32											76	128	1024		6		6													1																		0
is160	160		1	32											88	128	1024		7		7													1																		0
is161	161		1	32													1024																																			0
is162	162		1	32													1024								1			is11																								0
is163	163		1	32													1024								1			is11																								0
is164	164		1	32													1024																																			0
is165	165		1	32													1024																																			0
is166	166		1	32													1024																																			0
is167	167		1	32													1024																																			0
is168	168		1	32													1024																																			0
is169	169		1	32													1024																																			0
is170	170		1	32													1024																																			0
is171	171		1	32													1024																																			0
is172	172	1		32													1024																																			0
is173	173			32													1024																																			0
is174	174			32													1024																																			0
is175	175			32													1024																																			0
is176	176			32													1024																																			0
is177	177			32													1024																																			0
is178	178			32													1024																																			0
is179	179			32	10										19	14	1024		3		9		10											1					108	22	1	ModitemAttratvsM	ModitemAttratvsM									0
is180	180			32	10										27	17	1024		3		9		10											1					106	22	1	Moditemdamvsm	Moditemdamvsm									0
is181	181	1		32													1024		14		3																															0
is182	182	1	1	32													1024		14																																	0
is183	183			32													1024		14																																	0
is184	184			32													1024		14																					29		ModStre9e	ModStre9e									0
is185	185			32													1024		14																																	0
is186	186			32													1024		14																																	0
is187	187			32													1024		14																																	0
is188	188		1	32	6						1				11042	768	1024		10		3		16																151	14		StrSklTabItem1	StrSklTabItem1									0
is189	189			32													1024		10																																	0
is190	190			32													1024		10																																	0
is191	191			32													1024		10																																	0
is192	192			32													1024		10																																	0
is193	193			32													1024		10																																	0
is194	194		1	32											38	170	1024		4		4												1																			0
is195	195		1	32	16						1			2	190	256	1024		21		7		16											1	ev7	20	ev8	20	160	15		ItemExpansiveChancX	ItemExpansiveChancX									0
is196	196		1	32	16						1			2	85	19	1024		21		7		16											1	ev9	30			160	15		ModitemskonKill	ModitemskonKill									0
is197	197		1	32	16						1			2	11	9	1024		21		7		16												ev10	30			160	15		Moditemskondeath	Moditemskondeath									0
is198	198		1	32	16						1			2	190	256	1024		21		7		16											1	ev5	20	ev6	20	160	15		ItemExpansiveChanc1	ItemExpansiveChanc1									0
is199	199		1	32	16						1			2	7	6	1024		21		7		16												ev12	30			160	15		ModitemskonLevel	ModitemskonLevel									0
is200	200		1	32			1		32					3	401	256	1024		30												1																					0
is201	201		1	32	16						1			2	190	256	1024		21		7		16												ev1	21	ev2	21	160	15		ItemExpansiveChanc2	ItemExpansiveChanc2									0
is202	202			32													1024		21																																	0
is203	203			32													1024		21																																	0
is204	204		1	32							1			3	401	256	1024		30		16		16																1	24		ModStre10d	ModStre10d									0
is205	205		1	32										3	401	256	1024		30																																	0
is206	206		1	32			1	1	8					3	401	256	1024		30		6																															0
is207	207		1	32										3	401	256	1024		30																																	0
is208	208		1	32										3	401	256	1024		30																																	0
is209	209		1	32										3	401	256	1024		30																																	0
is210	210		1	32										3	401	256	1024		30																																	0
is211	211		1	32										3	401	256	1024		30																				8	2	1	ModStre9f	ModStre9f									0
is212	212		1	32										3	401	256	1024		30																																	0
is213	213		1	32										3	401	256	1024		30																				8889	3		ModStre9g	ModStre9g									0
is214	214		1	32											43	42	1024		6		6				4	3	is12	is31											72	6	1	ModStr1i	ModStr1i	increaseswithplaylevelX								0
is215	215		1	32											87	100	1024		6		6				5	3	is12	is31											73	8	1	Modstr2v	Modstr2v	increaseswithplaylevelX								0
is216	216		1	32											92	64	1024	8	6		6				2	3	is12	is7											57	6	1	ModStr1u	ModStr1u	increaseswithplaylevelX								0
is217	217		1	32											90	128	1024	8	6		6				2	3	is12	is9											53	6	1	ModStr1e	ModStr1e	increaseswithplaylevelX								0
is218	218		1	32											54	204	1024		6		6				4	3	is12	is22	is24	is160				1					125	6	1	ModStr1f	ModStr1f	increaseswithplaylevelX								0
is219	219		1	32											86	100	1024		6		6				5	3	is12	is22	is24	is160				1					128	8	1	ModStr2j	ModStr2j	increaseswithplaylevelX								0
is220	220		1	32											132	128	1024		6		6				2	3	is12	is0											66	6	1	ModStr1a	ModStr1a	increaseswithplaylevelX								0
is221	221		1	32											132	128	1024		6		6				2	3	is12	is2											64	6	1	ModStr1b	ModStr1b	increaseswithplaylevelX								0
is222	222		1	32											105	128	1024		6		6				2	3	is12	is1											60	6	1	ModStr1d	ModStr1d	increaseswithplaylevelX								0
is223	223		1	32											105	128	1024		6		6				2	3	is12	is3											62	6	1	ModStr1c	ModStr1c	increaseswithplaylevelX								0
is224	224		1	32											53	20	1024		6		6				2	1	is12	is19						1					114	6	1	ModStr1h	ModStr1h	increaseswithplaylevelX								0
is225	225		1	32											10	256	1024		6		6				2	1	is12	is119						1					116	7	1	ModStr4c	ModStr4c	increaseswithplaylevelX								0
is226	226		1	32											1058	340	1024		6		6				2	3	is12	is55						1					94	6	1	ModStr1s	ModStr1s	increaseswithplaylevelX								0
is227	227		1	32											49	128	1024		6		6				2	3	is12	is49						1					100	6	1	ModStr1o	ModStr1o	increaseswithplaylevelX								0
is228	228		1	32											49	128	1024		6		6				2	3	is12	is51						1					97	6	1	ModStr1q	ModStr1q	increaseswithplaylevelX								0
is229	229		1	32											49	128	1024		6		6				2	3	is12	is58						1					90	6	1	ModStr4h	ModStr4h	increaseswithplaylevelX								0
is230	230		1	32											101	128	1024		6		6				2	3	is12	is43											39	7	2	ModStr1k	ModStr1k	increaseswithplaylevelX								0
is231	231		1	32											101	128	1024		6		6				2	3	is12	is39											35	7	2	ModStr1j	ModStr1j	increaseswithplaylevelX								0
is232	232		1	32											101	128	1024		6		6				2	3	is12	is41											37	7	2	ModStr1l	ModStr1l	increaseswithplaylevelX								0
is233	233		1	32											101	128	1024		6		6				2	3	is12	is45											33	7	2	ModStr1n	ModStr1n	increaseswithplaylevelX								0
is234	234		1	32											207	340	1024		6		6				2	3	is12	is149											32	6	1	ModStre9p	ModStre9p	increaseswithplaylevelX								0
is235	235		1	32											207	340	1024		6		6				2	3	is12	is143											28	6	1	ModStre9o	ModStre9o	increaseswithplaylevelX								0
is236	236		1	32											207	340	1024		6		6				2	3	is12	is145											30	6	1	ModStre9q	ModStre9q	increaseswithplaylevelX								0
is237	237		1	32											207	340	1024		6		6				2	3	is12	is147																								0
is238	238		1	32											55	256	1024		6		5				2	3	is12	is78											12	9	2	ModStr1v	ModStr1v	increaseswithplaylevelX								0
is239	239		1	32											42	256	1024		6		6				2	3	is12	is79											9	7	1	ModStr1w	ModStr1w	increaseswithplaylevelX								0
is240	240		1	32											814	1024	1024		6		6				2	3	is12	is80											7	7	1	ModStr1x	ModStr1x	increaseswithplaylevelX								0
is241	241		1	32											79	256	1024		6		6				2	3	is12	is28											47	8	2	ModStr3v	ModStr3v	increaseswithplaylevelX								0
is242	242		1	32											104	64	1024		6		6				2	3	is12	is11											50	6	1	ModStr5d	ModStr5d	increaseswithplaylevelX								0
is243	243		1	32											56	10	1024		6		6				2	3	is12	is121						1					111	8	1	ModStr4e	ModStr4e	increaseswithplaylevelX								0
is244	244		1	32											91	10	1024		6		6				2	3	is12	is122						1					107	8	1	ModStr4f	ModStr4f	increaseswithplaylevelX								0
is245	245		1	32											55	10	1024		6		6				2	1	is12	is123						1					109	6	1	ModStr4j	ModStr4j	increaseswithplaylevelX								0
is246	246		1	32											12	10	1024		6		6				2	1	is12	is124						1					105	6	1	ModStr4k	ModStr4k	increaseswithplaylevelX								0
is247	247		1	32											213	1024	1024		6		6				2	3	is12	is136						1					85	7	1	ModStr5c	ModStr5c	increaseswithplaylevelX								0
is248	248		1	32											181	128	1024		6		6				2	3	is12	is135						1					84	7	1	ModStr3m	ModStr3m	increaseswithplaylevelX								0
is249	249		1	32											104	128	1024		6		6				2	3	is12	is137						1					120	6	1	ModStr5e	ModStr5e	increaseswithplaylevelX								0
is250	250		1	32											118	512	1024		6		6				2	3	is12	is141						1					86	7	1	ModStr5q	ModStr5q	increaseswithplaylevelX								0
is251	251		1	32													1024																																			0
is252	252		1	32											106	256	1024		5		6																		1	11		ModStre9t	ModStre9t									0
is253	253		1	32											106	256	1024		5		6																		2	3		ModStre9v	ModStre9v									0
is254	254		1	32											99	10	1024		8		8																		4	3		ModStre9i	ModStre9i									0
is255	255		1	32													1024																																			0
is256	256		1	32													1024																	1																		0
is257	257		1	32													1024																	1																		0
is258	258		1	32													1024																	1																		0
is259	259		1	32													1024																	1																		0
is260	260		1	32													1024																	1																		0
is261	261		1	32													1024																	1																		0
is262	262		1	32													1024																																			0
is263	263		1	32													1024																																			0
is264	264		1	32													1024																																			0
is265	265		1	32													1024																																			0
is266	266		1	32													1024																																			0
is267	267		1	32													1024																																			0
is268	268		1	32										4			1024		22		22				6			is31											180	17	1	ModStr1i	ModStr1i									0
is269	269		1	32										4			1024		22		22				7			is31											180	18	1	Modstr2v	Modstr2v									0
is270	270		1	32										4			1024		22		22				6			is7											180	17	1	ModStr1u	ModStr1u									0
is271	271		1	32										4			1024		22		22				6			is9											180	17	1	ModStr1e	ModStr1e									0
is272	272		1	32										4			1024		22		22				6			is22	is24	is160				1					180	17	1	ModStr1f	ModStr1f									0
is273	273		1	32										4			1024		22		22				7			is22	is23	is159				1					180	18	1	ModStr2j	ModStr2j									0
is274	274		1	32										4			1024		22		22				6			is0											180	17	1	ModStr1a	ModStr1a									0
is275	275		1	32										4			1024		22		22				6			is2											180	17	1	ModStr1b	ModStr1b									0
is276	276		1	32										4			1024		22		22				6			is1											180	17	1	ModStr1d	ModStr1d									0
is277	277		1	32										4			1024		22		22				6			is3											180	17	1	ModStr1c	ModStr1c									0
is278	278		1	32										4			1024		22		22				6			is19						1					180	17	1	ModStr1h	ModStr1h									0
is279	279		1	32										4			1024		22		22				6			is119						1					180	18	1	ModStr4c	ModStr4c									0
is280	280		1	32										4			1024		22		22				6			is55						1					180	17	1	ModStr1s	ModStr1s									0
is281	281		1	32										4			1024		22		22				6			is49						1					180	17	1	ModStr1o	ModStr1o									0
is282	282		1	32										4			1024		22		22				6			is51						1					180	17	1	ModStr1q	ModStr1q									0
is283	283		1	32										4			1024		22		22				6			is58						1					180	17	1	ModStr4h	ModStr4h									0
is284	284		1	32										4			1024		22		22				6			is43											180	18	2	ModStr1k	ModStr1k									0
is285	285		1	32										4			1024		22		22				6			is39											180	18	2	ModStr1j	ModStr1j									0
is286	286		1	32										4			1024		22		22				6			is41											180	18	2	ModStr1l	ModStr1l									0
is287	287		1	32										4			1024		22		22				6			is45											180	18	2	ModStr1n	ModStr1n									0
is288	288		1	32										4			1024		22		22				6			is149											180	18	1	ModStre9p	ModStre9p									0
is289	289		1	32										4			1024		22		22				6			is143											180	18	1	ModStre9o	ModStre9o									0
is290	290		1	32										4			1024		22		22				6			is145											180	18	1	ModStre9q	ModStre9q									0
is291	291		1	32										4			1024		22		22				6			is147																								0
is292	292		1	32										4			1024		22		22				6			is79											180	18	2	ModStr1w	ModStr1w									0
is293	293		1	32										4			1024		22		22				6			is80											180	18	1	ModStr1x	ModStr1x									0
is294	294		1	32										4			1024		22		22				6			is28											180	18	2	ModStr3v	ModStr3v									0
is295	295		1	32										4			1024		22		22				6			is11											180	17	1	ModStr5d	ModStr5d									0
is296	296		1	32										4			1024		22		22				6			is121						1					180	18	1	ModStr4e	ModStr4e									0
is297	297		1	32										4			1024		22		22				6			is122						1					180	18	1	ModStr4f	ModStr4f									0
is298	298		1	32										4			1024		22		22				6			is123						1					180	17	1	ModStr4j	ModStr4j									0
is299	299		1	32										4			1024		22		22				6			is124						1					180	17	1	ModStr4k	ModStr4k									0
is300	300		1	32										4			1024		22		22				6			is136						1					180	18	1	ModStr5c	ModStr5c									0
is301	301		1	32										4			1024		22		22				6			is135						1					180	18	1	ModStr3m	ModStr3m									0
is302	302		1	32										4			1024		22		22				6			is137						1					180	17	1	ModStr5e	ModStr5e									0
is303	303		1	32										4			1024		22		22				6			is141						1					180	18	1	ModStr5q	ModStr5q									0
is304	304		1	32										4			1024																																			0
is305	305		1	32											1432	513	1024				8	50																	88	20	1	Moditemenrescoldsk	Moditemenrescoldsk									0
is306	306		1	32											1240	497	1024				8	50																	88	20	1	Moditemenresfiresk	Moditemenresfiresk									0
is307	307		1	32											1187	481	1024				8	50																	88	20	1	Moditemenresltngsk	Moditemenresltngsk									0
is308	308		1	32											1322	506	1024				8	50																	88	20	1	Moditemenrespoissk	Moditemenrespoissk									0
is309	309		1	32													1024																	1																		0
is310	310		1	32													1024																	1																		0
is311	311		1	32													1024																	1																		0
is312	312		1	32													1024																	1																		0
is313	313		1	32													1024																																			0
is314	314		1	32													1024																																			0
is315	315		1	32													1024																																			0
is316	316		1	32													1024																																			0
is317	317		1	32													1024																																			0
is318	318		1	32													1024																																			0
is319	319		1	32													1024																																			0
is320	320		1	32													1024																																			0
is321	321		1	32													1024																																			0
is322	322		1	32													1024																																			0
is323	323		1	32													1024																																			0
is324	324		1	32													1024		6		6												1	1																		0
is325	325		1	32													1024																																			0
is326	326		1	32													1024																	1																		0
is327	327		1	32													1024																																			0
is328	328		1	32													1024																																			0
is329	329		1	32											1117	415	1024		8		9	50																	88	4	1	ModitemdamFiresk	ModitemdamFiresk									0
is330	330		1	32											1054	408	1024		8		9	50																	88	4	1	ModitemdamLtngsk	ModitemdamLtngsk									0
is331	331		1	32											1295	379	1024		8		9	50																	88	4	1	ModitemdamColdsk	ModitemdamColdsk									0
