Name	*comment	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	divide	multiply	add
Saintly		1	1	1	31		23				7	101	pr5		66	80									1	dgld	armo	vcha	vchb												
Holy		1	1	1	36		27				6	101	pr5		81	100									1	dgld	armo	vcha	vchb												
Godly		100	1		45		38				3	101	pr5		101	200									1	dgld	armo	vcha	vchb												
Devious		1		1	7		5				5	102	pr6		1	1											shld	circ	orb	wand	staf										
Blank		1		1	14		10				4	102	pr6		2	2											shld	circ	orb	wand	staf										
Null		100		1	21		16				4	102	pr6		3	5									1	dblu	shld	circ													
Antimagic		100			28		21				4	102	pr6		6	10									1	dblu	shld	circ													
Red		100		1	4		3				4	103	pr27		1	2									1	dred	lcha	vchb	vchb												
Red		100		1	16		12				4	103	pr27		3	3									1	dred	lcha	vchb	vchb												
Sanguinary		100		1	28		21				4	103	pr27		4	4									1	dred	lcha	vchb	vchb												
Sanguinary		100		1	40		32				4	103	pr27		5	6									1	dred	lcha	vchb	vchb												
Bloody		100			52		46				4	103	pr27		7	8									1	dred	lcha	vchb	vchb												
Red		100		1	11		8				4	103	pr27		1	2									1	dred	mcha	vchb	vchb												
Sanguinary		100		1	33		25				4	103	pr27		3	3									1	dred	mcha	vchb	vchb												
Bloody		100			55		47				4	103	pr27		4	4									1	dred	mcha	vchb	vchb												
Red		100		1	24		16				4	103	pr27		1	1									1	dred	scha	vchb	vchb												
Sanguinary		100		1	41		33				4	103	pr27		2	2									1	dred	scha	vchb	vchb												
Bloody		100			58		50				4	103	pr27		3	3									1	dred	scha	vchb	vchb												
Scarlet		100	1	1	8		6				4	103	pr27		1	4									1	dred	jewl	vchb	vchb												
Crimson		100	1	1	38		30				4	103	pr27		5	8									1	dred	jewl	vchb	vchb												
Jagged		100		1	3		2				4	104	pr28		1	2									1	blac	lcha	vchb	vchb												
Jagged		100		1	10		7				4	104	pr28		3	4									1	blac	lcha	vchb	vchb												
Jagged		100		1	17		12				4	104	pr28		5	6									1	blac	lcha	vchb	vchb												
Forked		100		1	25		18				4	104	pr28		7	8									1	blac	lcha	vchb	vchb												
Forked		100		1	32		24				4	104	pr28		9	10									1	blac	lcha	vchb	vchb												
Serrated		100			39		31				4	104	pr28		11	12									1	blac	lcha	vchb	vchb												
Serrated		100			47		39				4	104	pr28		13	14									1	blac	lcha	vchb	vchb												
Jagged		100		1	10		7				4	104	pr28		1	1									1	blac	mcha	vchb	vchb												
Jagged		100		1	20		15				4	104	pr28		2	2									1	blac	mcha	vchb	vchb												
Forked		100		1	30		22				4	104	pr28		3	3									1	blac	mcha	vchb	vchb												
Forked		100		1	40		32				4	104	pr28		4	5									1	blac	mcha	vchb	vchb												
Serrated		100			50		42				4	104	pr28		6	7									1	blac	mcha	vchb	vchb												
Jagged		100		1	23		17				4	104	pr28		1	1									1	blac	scha	vchb	vchb												
Forked		100		1	38		30				4	104	pr28		2	2									1	blac	scha	vchb	vchb												
Serrated		100			53		45				4	104	pr28		3	3									1	blac	scha	vchb	vchb												
Carbuncle		100	1	1	12		9				4	104	pr28		1	5									1	dred	jewl	vchb	vchb												
Carmine		100	1	1	35		27				4	104	pr28		6	9									1	dred	jewl	vchb	vchb												
Vermillion		100	1		58		50				4	104	pr28		11	15									1	dred	jewl	vchb	vchb												
Jagged		1	1	1	1		1				9	105	pr29		10	20											weap	circ						staf	wand	orb					
Deadly		1	1	1	5		3				9	105	pr29		21	30											weap	circ						staf	wand	orb					
Vicious		1	1	1	8		6				8	105	pr29		31	40											weap							staf	wand	orb					
Brutal		1	1	1	14		10				8	105	pr29		41	50											weap							staf	wand	orb					
Massive		1	1	1	20		15				7	105	pr29		51	65									1	dgld	weap							staf	wand	orb					
Savage		1	1	1	26		19				7	105	pr29		66	80									1	dgld	weap							staf	wand	orb					
Merciless		1	1	1	32		24				6	105	pr29		81	100									1	dgld	weap							staf	wand	orb					
Ferocious		100	1	1	41		33				6	105	pr29		101	200									1	blac	weap							staf	wand	orb					
Cruel		100	1		51		43				5	105	pr29		201	300									1	blac	weap							staf	wand	orb					
Cinnabar		100	1	1	1		1				4	105	pr29		5	10									1	dred	jewl														
Rusty		100	1	1	13		9				4	105	pr29		11	20									1	dred	jewl														
Realgar		100	1	1	45		37				4	105	pr29		21	30									1	dred	jewl														
Ruby		100	1		66		58				4	105	pr29		31	40									1	dred	jewl														
Vulpine		1	1	1	9		6				3	107	pr30		7	12									1	cblu	shld	amul	orb	staf											
Dun		100	1	1	7		5				3	107	pr30		7	12											jewl														
Tireless		1	1	1	6		4				4	108	pr61		25	25											boot														
Tireless		100	1	1	14		10				4	108	pr61		50	50											boot														
Brown		100	1	1	39		31				4	108	pr61		10	15											jewl														
Rugged		100	1	1	1		1				4	109	pr63		12	24											lcha														
Rugged		100	1	1	7		5				4	109	pr63		25	36											lcha														
Rugged		100	1	1	21		15				4	109	pr63		37	50											lcha														
Rugged		100	1	1	1						4	109	pr63		8	16											mcha														
Rugged		100	1	1	7		5				4	109	pr63		17	25											mcha														
Rugged		100	1	1	21		15				4	109	pr63		26	32											mcha														
Rugged		100	1	1	1						4	109	pr63		4	8											scha														
Rugged		100	1	1	21		15				4	109	pr63		9	16											scha														
Rugged		1	1	1	1		1				4	109	pr63		5	10											boot	glov	belt	ring	amul	circ									
Rugged		1	1	1	8		6				4	109	pr63		11	20											boot	belt													
Rugged		1	1	1	8		6				4	109	pr63		11	20											ring	amul	circ												
Vigorous		100	1	1	16		12				4	109	pr63		21	30											boot	belt													
Chestnut		100	1	1	1		1				4	109	pr63		10	15											jewl														
Maroon		100	1	1	17		12				4	109	pr63		16	25											jewl														
Bronze		100	1	1	1		1				4	110	pr15		6	12											lcha	vchb	vcha												
Bronze		100	1	1	7		5				4	110	pr15		13	27											lcha	vchb	vcha												
Bronze		100	1	1	13		9				4	110	pr15		28	42											lcha	vchb	vcha												
Iron		100	1	1	19		14				4	110	pr15		43	57											lcha	vchb	vcha												
Iron		100	1	1	25		18				4	110	pr15		58	72											lcha	vchb	vcha												
Iron		100	1	1	31		23				4	110	pr15		73	87											lcha	vchb	vcha												
Steel		100	1		37		29				4	110	pr15		88	102											lcha	vchb	vcha												
Steel		100	1		43		35				4	110	pr15		103	117											lcha	vchb	vcha												
Steel		100	1		49		41				4	110	pr15		118	132											lcha	vchb	vcha												
Bronze		100	1	1	1		1				4	110	pr15		4	8											mcha	vchb	vcha												
Bronze		100	1	1	7		5				4	110	pr15		6	12											mcha	vchb	vcha												
Bronze		100	1	1	16		12				4	110	pr15		13	25											mcha	vchb	vcha												
Iron		100	1	1	25		18				4	110	pr15		26	38											mcha	vchb	vcha												
Iron		100	1	1	34		26				4	110	pr15		39	51											mcha	vchb	vcha												
Steel		100	1		43		36				4	110	pr15		52	64											mcha	vchb	vcha												
Steel		100	1		52		44				4	110	pr15		65	77											mcha	vchb	vcha												
Bronze		100	1	1	1		1				4	110	pr15		2	4											scha	vchb	vcha												
Bronze		100	1	1	21		15				4	110	pr15		6	12											scha	vchb	vcha												
Iron		100	1	1	39		31				4	110	pr15		13	24											scha	vchb	vcha												
Steel		100	1		57		49				4	110	pr15		25	36											scha	vchb	vcha												
Bronze		1	1	1	1		1				8	110	pr15		10	20											weap	ring	glov	amul	circ			staf	wand	orb					
Iron		1	1	1	4		3				8	110	pr15		21	40											weap	ring	circ					staf	wand	orb					
Steel		1	1	1	8		6				7	110	pr15		41	60											weap	ring	circ					staf	wand	orb					
Silver		1	1	1	12		9				7	110	pr15		61	80											weap	ring	circ					staf	wand	orb					
Gold		1	1	1	17		12				6	110	pr15		81	100									1	lgld	weap	ring	circ					staf	wand	orb					
Platinum		1	1	1	22		16				6	110	pr15		101	120									1	lgld	weap	ring	circ					staf	wand	orb					
Meteoric		1	1	1	27		20				5	110	pr15		121	150									1	lgld	weap							staf	wand	orb					
Strange		100	1	1	32		24				5	110	pr15		151	300									1	lgld	weap							staf	wand	orb					
Weird		100	1		37		27				4	110	pr15		301	450									1	lgld	weap							staf	wand	orb					
Nickel		100	1	1	1		1				4	110	pr15		10	20											jewl														
Tin		100	1	1	8		6				4	110	pr15		21	40											jewl														
Silver		100	1	1	25		18				4	110	pr15		41	60											jewl														
Argent		100	1		44		36				4	110	pr15		61	100											jewl														
Fine		100	1	1	15		11				4	111	pr15		10	20	pr28		1	3							lcha	vcha	vchb												
Fine		100	1	1	22		16				4	111	pr15		21	48	pr28		4	6							lcha	vcha	vchb												
Sharp		100	1	1	29		21				4	111	pr15		49	76	pr28		7	10							lcha	vcha	vchb												
Fine		100	1	1	19		14				4	111	pr15		10	20	pr28		1	3							mcha	vcha	vchb												
Sharp		100	1	1	28		21				4	111	pr15		21	48	pr28		4	6							mcha	vcha	vchb												
Fine		100	1		28		21				4	111	pr15		10	20	pr28		1	3							scha	vcha	vchb												
Sharp		1	1	1	5		3				9	111	pr15		10	20	pr29		10	20							weap							staf	wand	orb					
Fine		1	1	1	12		9				9	111	pr15		21	40	pr29		21	30							weap							staf	wand	orb					
Warrior's		1	1	1	19		13				8	111	pr15		41	60	pr29		31	40							weap							staf	wand	orb					
Soldier's		1	1	1	27		19				8	111	pr15		61	80	pr29		41	50							weap							staf	wand	orb					
Knight's		1	1	1	38		30				7	111	pr15		81	100	pr29		51	65					1	dgld	weap							staf	wand	orb					
Lord's		1	1	1	47		39				6	111	pr15		101	120	pr29		66	80					1	dgld	weap							staf	wand	orb					
King's		1	1	1	56		48				5	111	pr15		121	150	pr29		81	100					1	dgld	weap							staf	wand	orb					
Master's		100	1	1	56		48				5	111	pr15		151	250	pr29		101	150					1	dgld	weap							staf	wand	orb					
Grandmaster's		100	1		69		61				4	111	pr15		251	300	pr29		151	200					1	dgld	weap							staf	wand	orb					
Glimmering		1	1	1	1		1				1	112	pr73		1	1											armo	wand	staf	ring	amul	orb									
Glowing		1	1	1	6		4				1	112	pr73		2	2									1	lyel	armo	wand	staf	ring	amul	orb									
Bright		100	1	1	1		1				1	112	pr73		1	1	pr15		10	10							jewl														
Screaming		100	1	1	10		7				3	113	pr90		32	32									1	oran	weap							miss	swor	axe	pole	spea			
Howling		1	1	1	16		12				3	113	pr90		64	64									1	oran	weap							miss	swor	axe	pole	spea			
Wailing		100	1	1	20		13				3	113	pr90		128	128									1	oran	weap							miss	swor	axe	pole	spea			
Screaming		100	1	1	10		7				4	113	pr90		16	16									1	oran	miss														
Howling		100	1	1	16		12				4	113	pr90		24	24									1	oran	miss														
Wailing		100	1		24		18				4	113	pr90		32	32									1	oran	miss														
Lucky		100	1	1	21						4	114	pr59		1	4											lcha														
Lucky		100	1		38						4	114	pr59		5	7											lcha														
Lucky		100	1		55						4	114	pr59		8	12											lcha														
Lucky		100	1	1	34						4	114	pr59		1	1											mcha														
Lucky		100	1		53						4	114	pr59		2	3											mcha														
Lucky		100	1		51						4	114	pr59		4	6											mcha														
Felicitous		100	1	1	5		3				4	114	pr59		5	10											ring	amul	circ												
Fortuitous		1	1		12		8				4	114	pr59		11	15											ring	amul	circ												
Emerald		100	1	1	16		12				4	114	pr59		3	7											jewl														
Lizard's		100	1	1	1		1				4	115	pr11		3	7											lcha	vchb	vcha												
Lizard's		100	1	1	7		5				4	115	pr11		8	13											lcha	vchb	vcha												
Lizard's		100	1	1	13		9				4	115	pr11		14	20											lcha	vchb	vcha												
Snake's		100	1	1	19		14				4	115	pr11		21	26											lcha	vchb	vcha												
Snake's		100	1	1	25		18				4	115	pr11		27	33											lcha	vchb	vcha												
Snake's		100	1	1	31		23				4	115	pr11		34	39											lcha	vchb	vcha												
Serpent's		100	1	1	37		29				4	115	pr11		40	46											lcha	vchb	vcha												
Serpent's		100	1	1	43		35				4	115	pr11		47	52											lcha	vchb	vcha												
Serpent's		100	1	1	49		41				4	115	pr11		53	59											lcha	vchb	vcha												
Lizard's		100	1	1	1		1				4	115	pr11		2	4											mcha	vchb	vcha												
Lizard's		100	1	1	9		6				4	115	pr11		5	7											mcha	vchb	vcha												
Lizard's		100	1	1	17		12				4	115	pr11		8	12											mcha	vchb	vcha												
Snake's		100	1	1	25		18				4	115	pr11		13	18											mcha	vchb	vcha												
Snake's		100	1	1	33		25				4	115	pr11		19	23											mcha	vchb	vcha												
Serpent's		100	1	1	41		33				4	115	pr11		24	29											mcha	vchb	vcha												
Serpent's		100	1	1	49		41				4	115	pr11		30	34											mcha	vchb	vcha												
Lizard's		100	1	1	16		12				4	115	pr11		1	2											scha	vchb	vcha												
Lizard's		100	1	1	16		12				4	115	pr11		3	7											scha	vchb	vcha												
Snake's		100	1	1	32		24				4	115	pr11		8	12											scha	vchb	vcha												
Serpent's		100	1		48		40				4	115	pr11		13	17											scha	vchb	vcha												
Lizard's		1	1	1	3		2				4	115	pr11		3	5											armo	ring	amul	rod	orb			boot	glov						
Snake's		1	1	1	6		4				4	115	pr11		5	10											shld	rod	belt	ring	amul	circ									
Serpent's		1	1	1	14		10				3	115	pr11		11	20											shld	rod	belt	ring	amul	circ									
Serpent's		1	1	1	37		27				2	115	pr11		11	20											tors	boot	glov	weap	orb			rod							
Drake's		1	1	1	20		15				2	115	pr11		21	30									1	cblu	rod	ring	amul	orb	circ										
Dragon's		1	1	1	24		18				2	115	pr11		31	40									1	cblu	rod	ring	amul	orb	circ										
Dragon's		1	1	1	52		39				2	115	pr11		31	40									1	cblu	tors	boot	glov												
Wyrm's		1	1	1	30		22				2	115	pr11		41	60									1	cblu	rod	ring	amul	orb	circ										
Great Wyrm's		100	1	1	37		29				2	115	pr11		61	90									1	cblu	rod	ring	amul	orb	circ										
Bahamut's		100	1		45		37				2	115	pr11		91	120									1	cblu	rod	ring	amul	orb	circ										
Zircon		100	1	1	3		2				2	115	pr11		5	10									1	cblu	jewl														
Jacinth		100	1	1	17		12				2	115	pr11		11	15									1	cblu	jewl														
Turquoise		100	1		29		21				2	115	pr11		16	20									1	cblu	jewl														
Shimmering		100	1		8	13	6				1	116	pr41		3	6									1	lpur	lcha													1280	500
Shimmering		100	1		14	34	10				1	116	pr41		8	12									1	lpur	lcha													1280	1500
Shimmering		100	1		35		27				1	116	pr41		13	15									1	lpur	lcha													1280	5000
Shimmering		100	1		17	33	12				1	116	pr41		3	5									1	lpur	mcha													1280	1500
Shimmering		100	1		34		26				1	116	pr41		6	8									1	lpur	mcha													1280	5000
Shimmering		100	1		33		25				1	116	pr41		3	5									1	lpur	scha													1280	10000
Shimmering		100	1	1	6		4				5	116	pr41		3	7									1	lpur	shld													1280	500
Rainbow		100	1	1	18		13				5	116	pr41		8	11									1	lpur	shld													1280	2000
Scintillating		100	1	1	28		21				5	116	pr41		12	15									1	lpur	shld													1280	4000
Prismatic		1	1	1	39		31				4	116	pr41		16	20									1	lpur	shld													1280	8000
Chromatic		100	1		50		42				4	116	pr41		21	30									1	lpur	shld													1280	16000
Shimmering		100	1	1	8		6				5	116	pr41		3	7									1	lpur	amul	circ												1280	3000
Rainbow		100	1	1	21		15				5	116	pr41		8	11									1	lpur	amul	circ												1280	6000
Scintillating		100	1	1	34		25				5	116	pr41		12	15									1	lpur	amul	circ												1280	12000
Prismatic		1	1	1	42		31				4	116	pr41		16	20									1	lpur	amul	circ												1280	24000
Chromatic		100	1		55		41				3	116	pr41		21	30									1	lpur	amul	circ												1280	32000
Shimmering		100	1	1	45		37				3	116	pr41		3	7									1	lpur	ring													1280	4000
Rainbow		100	1	1	56		48				2	116	pr41		8	11									1	lpur	ring													1280	8000
Scintillating		100	1		67		59				2	116	pr41		12	15									1	lpur	ring													1280	16000
Shimmering		100	1	1	16		12				1	116	pr41		5	10									1	lpur	jewl													1280	3000
Scintillating		100	1		34		26				1	116	pr41		11	15									1	lpur	jewl													1280	8000
Azure		100	1	1	1		1				2	117	pr35		7	15											lcha														
Lapis		100	1	1	10		7				2	117	pr35		16	20											lcha														
Cobalt		100	1	1	20		15				2	117	pr35		21	25									1	lblu	lcha														
Sapphire		100	1		30		22				2	117	pr35		26	30									1	lblu	lcha														
Azure		100	1	1	1		1				2	117	pr35		4	7											mcha														
Lapis		100	1	1	16		12				2	117	pr35		8	10											mcha														
Cobalt		100	1	1	25		18				2	117	pr35		11	12									1	lblu	mcha														
Sapphire		100	1		35		27				2	117	pr35		13	15									1	lblu	mcha														
Azure		100	1	1	1		1				2	117	pr35		3	5											scha														
Lapis		100	1	1	14		10				2	117	pr35		6	7											scha														
Cobalt		100	1	1	27		20				2	117	pr35		8	9									1	lblu	scha														
Sapphire		100	1		40		32				2	117	pr35		10	11									1	lblu	scha														
Azure		1	1	1	5		3				2	117	pr35		5	10											armo	weap	ring	amul	orb	circ									
Lapis		1	1	1	12		9				4	117	pr35		11	20											armo	ring	amul	orb	circ										
Lapis		1	1	1	35		26				2	117	pr35		11	20											weap							orb							
Cobalt		1	1	1	18		13				3	117	pr35		21	30											armo	ring	amul	orb	circ										
Cobalt		1	1	1	55		41				2	117	pr35		21	30											weap							orb							
Sapphire		1	1	1	25		18				3	117	pr35		31	40									1	lblu	rod	boot	amul	orb	circ										
Lapis Lazuli		100	1	1	2		1				4	117	pr35		5	15									1	lblu	jewl														
Sapphire		100	1	1	19		14				4	117	pr35		16	30									1	lblu	jewl														
Crimson		100	1	1	1		1				2	118	pr31		7	15											lcha														
Russet		100	1	1	10		7				2	118	pr31		16	20											lcha														
Garnet		100	1	1	20		15				2	118	pr31		21	25									1	lred	lcha														
Ruby		100	1		30		22				2	118	pr31		26	30									1	lred	lcha														
Crimson		100	1	1	1		1				2	118	pr31		4	7											mcha														
Russet		100	1	1	16		12				2	118	pr31		8	10											mcha														
Garnet		100	1	1	25		18				2	118	pr31		11	12									1	lred	mcha														
Ruby		100	1		35		27				2	118	pr31		13	15									1	lred	mcha														
Crimson		100	1	1	1		1				2	118	pr31		3	5											scha														
Russet		100	1	1	14		10				2	118	pr31		6	7									1	lred	scha														
Garnet		100	1		27		20				2	118	pr31		8	9									1	lred	scha														
Ruby		100	1	1	40		32				2	118	pr31		10	11											scha														
Russet		1	1	1	12		9				4	118	pr31		11	20											armo	ring	amul	orb	circ										
Russet		1	1	1	35		26				1	118	pr31		11	20											weap							orb							
Garnet		1	1	1	18		13				3	118	pr31		21	30											armo	ring	amul	orb	circ										
Garnet		1	1	1	55		41				1	118	pr31		21	30											weap							orb							
Ruby		1	1	1	25		18				3	118	pr31		31	40									1	lred	rod	boot	amul	orb	circ										
Garnet		100	1	1	2		1				4	117	pr31		5	15									1	lred	jewl														
Ruby		100	1	1	18		13				4	117	pr31		16	30									1	lred	jewl														
